詞條,英文解釋,中文解釋,阿美語例句,英文例句,中文例句,參見
'alolil,a bird * House Martin,毛腳燕,,,,
,Barn swallow,家燕,,,,
,Red-Rumped swallow,赤腰燕,,,,'aroril
'alolong,deep,深的，深遠的,,,,talolong
'aloman,many * of people and animals only,許多…，很多…，眾多,,,,
'alongdas,large harmless edible snake * Mock Viper (Achalinus niger Maki),無毒可食之蟒蛇,,,,
,(Calamaria pavimentata formosana),南蛇，標蛇,,,,'alimdas
'alopal,persimmon * tree and fruit,柿子，柿子樹 (Diospyros kaki),,,,
'alopaynay,long bright orange / green beetle-like insect that is pliable like wood,螢火蟲,,,,'alipaonay
'alotoc,edible snails from river or sea,河中或海中的尖形螺,,,,
'alpad,a smaller group belonging to a larger delegation of travelers walking,成群結隊,,,,tapakad
'amis,name of the Amis race,阿美族之族名,,,,
,north,北，北方,,,,
'amitir,perverse * as the way a woman acts that makes her appear mannish,風騷的，不矜持的，任性的，縱情的(指女性),,,,
'amlas,flirting * using speech and manners that are sexually suggestive,輕浮，不莊重，風流,,,,
,of the way one does an activity causing spoil * not careful,輕慢，輕薄，粗魯,,,,
'anal,Refer to 'akonal,詳見 'akonal,,,,'akonal
'anapar,Refer to 'arapar,詳見 'arapar,,,,'arapar
'anengang,chair * stool,椅子，凳子,,,,'ahnang
'anganget,to curl hair,使毛髮捲曲,,,,
,curly,捲曲的，捲縮的，有捲毛的,,,,
'angcep,the smell of burnt rice,飯燒焦味,,,,
'angdis,Refer to 'anglis,詳見 'anglis,,,,'anglis
'angdisay,seaweed used for food,可食海草,,,,
'angi,fear arising in the heart when anticipating trouble,忍懼感,,,,
'anglis,strong smell of fish,魚腥味的,,,,'angdis
'angrer,bitter with literal and figurative meanings,苦，苦味，字面上及象徵意義上的苦,'angrer ko sowal,words that hurt,話語傷人，話中帶刺,
'angsaw,the smell of smoke * burnt smell,煙燻味的,,,,
'angsit,the stink of a skunk,鼬鼠之臭味,,,,
,the smell of certain kinds of plants,某種植物的臭味,'angsitay a koyo',a skunk,臭鼬鼠,
'angtol,stink of something dead,動物死屍的臭味，腐肉或傷口的臭味,,,,"'antol, 'angtox"
'angtox,Refer to 'angtol,詳見 'angtol,,,,'angtol
'anikak,Refer to 'ankak,詳見 'ankak,,,,'ankak
'anin,to play as dogs play,扮演狗戲，裝扮成狗要寶,,,,mala'anin
'aninil,to watch * pay special attention * be interested in,看守，守衛，對某些事物特別注意，對某事有興趣,,,,
'anip,rice seedlings freshly planted,稻株,,,,"'onip, mi'anip"
'ankak,a crow * large black bird,鴉,,,,'anikak
'anof,greed * desire * lust * usually related to one's livelihood,貪婪，貪慾，熱望，貪圖,,,,ka'anofan
'anongnongan,the center cross beam of a house,房屋的脊樑,,,,
'antipal,Chinese Bulbul,白頭翁,,,,
,a bird,一種鳥,,,,'atipal
'antol,Refer to 'angtol,詳見 'angtol,,,,'angtol
'aol,the generic word for bamboo,竹的總稱,,,,
'aolecen,Banded Krait * a poisonous snake,毒蛇名,,,,
'ap'ap,the name of a large frog,俗稱田雞,,,,opopay
'apac,a trowel * a tool used by a carpenter to shave wood smooth,鋤頭形削木刀,,,,
'apalo,Refer to 'apaloay,詳見 'apaloay,,,,'apaloay
'apaloay,name of a tree,波羅蜜,,,,"'apalo, facidol"
,name of a village where many facidol grew,花蓮縣壽豐鄉月眉部落之地名,,,,
'api,twin,孿生,,,,ma'apiay
'apilis,a sheer drop off as a ledge on a mountainside,山坡地，傾斜的坡地,,,,
'aplad,a loaf (bread),一塊(如麵包土司),,,,
'apocok,the very top of a mountain,山的尖頂，土堆尖形狀(如金字塔的尖端部份),,,,
'apol,white,lime paste made from burnt white stone soaked in water that becomes powder,,,,
'aporaw,hill-shaped ground,山丘,,,,
,to fill heaping full,堆積成山丘狀,,,,
'apsak,not enough water used in mixture as rice cooked without enough water,飯水分不足時，缺乏黏性,,,,
,something breaks apart from not being mixed right,東西因混合不當而互不相黏,,,,
'aramisit,a vegetable that looks like parsley,香菜,,,,
'arapar,sparks from fire,散發火星,,,,'anapar
'ararongac,Refer to 'adadongac,詳見 'adadongac,,,,'adadongac
'araw,seen * visible,看，視，窺,Pa'arawen kami toya nitatoyan iso.,Show us what you are holding.,請你把手上的東西顯示給我們看,"arawhani, pi'arawan, paka'araw"
,,,Pa'araw cingra to demak nira.,He revealed what he was doing.,他顯露他的作為(行為),
,,,saso'araw kita anini.,We get to see each other today.,今天我們彼此相遇,
'arawhani,instead * contrary to expectation,事實上，看起來，其實,,,,
,a grammatical connective indicating a reversal in the flow of events,然而，基於此，相形之下，卻見…,Tayra kami a milood cangraan.  'Arawhani papatapatay  cangra o Taroko.,We went to fight them.  Instead they the Taroko were killing themselves.,我們要去和他們打戰，卻見他們太魯閣族互相殘殺,'araw
'arawi,a word expressing warning or need to be careful,注意，小心，當心,,,,
,an expression suggesting that something bad may happen,勸告小心可能有不幸事件發生,,,,
'arawraw,round in one dimension (flat) * circle-shaped,圓的，圓形的,,,,
'ardet,a good kind of taste * delicious,香味十足的,,,,ka'so
'aredo,swamp grass * used in making things,蓆草(生長在水邊植物),,,,
'ari,break * referring to glass only,破碎,,,,kina'ari
'arikaya,a tall demon whose origin is in the trees * When he reveals himself to a person they become sick and die.,高如樹般的鬼魂之鬼名,,,,
'ariray,corn,玉米，玉蜀黍,,,,padaka
'ariri,granary * storeroom for grain of all kinds,穀倉,,,,
'arisaysay,Refer to 'arosaysay,詳見 'arosaysay,,,,'arosaysay
'arnim,the taste of something sour that is like liquor,酸，有一點酸,,,,
'aroril,Refer to 'alolil,詳見 'alolil,,,,'alolil
'arosaysay,a festival cape draped over the shoulders and covered with spangles,台東地區披肩形女舞裝,,,,'arisaysay
'arsak,to be dry from not having enough water in the mixture,水分不足(乾燥),Ma'arsak ko hemay.,The rice is hard and under-cooked.,白飯半生不熟,
,,,Ma'arsak ko amoto.,The cement doesn't have enough water in the mixture.,水泥無足夠的水，攪拌面乾裂,
'arsing,dew,露水，露珠,,,,'o'ol
'asad,a kernel of grain,舂米或碾米時未脫殼之穀粒,,,,safak
'asic,Refer to 'acis,詳見 'acis,,,,'acis
'asilo,lemon,檸檬樹(果),,,,
,mami'- an orange tree and fruit,柑橘,,,,
,the name of an Amis village * Asiloay,台東市豐年部落地名,,,,'asiro
'asiro,Lemon tree and its fruit,檸檬,,,,
,mami'- orange tree and fruit,柑橘,,,,'asilo
'asisiw,straw,稻草,,,,
'asolo,a wood or stone pestle used to mill rice,杵(阿美族固有的碾米用具)，石杵：製懦米糕舂擊用,,,,
'at'at,birth pains * to be in labor to deliver a baby,臨盆時的陣痛，分娩，生產,,,,
'atal,to scoop * method used to fill * to use hands or a paddle to fill,盛，裝，斟，舀,,,,
'atang,remnant of burnt wood * charcoal,木炭，燼炭,,,,
'atapa,a species of fish,一種特別的魚,,,,
'atay,liver,肝臟,,,,
'atem,pinched * caught between * referring to something large,捏住，挾住,,,,
'atikak,a large earthworm,蚯蚓,,,,
'atim,pinched * referring to something small,捏住，挾住,,,,
'atimela,fleas,跳蚤,,,,
'atip,a weaver's bar,織布棒，梭,,,,
'atipal,a bird * Chinese Bulbul,白頭翁,,,,"'anipal, 'antipal"
'atipil,straight up and down * perpendicular,扁平,,,,
,flat on one side up and down as the back of the head of a baby,嬰孩的頭扁平不正,,,,
'atipnoc,carpenter ants (Mycmellon formicarius),螞蟻之一(黑色刺人蟻),,,,
'atkak,hard with literal and figurative meanings,硬的(有知識，思想上的硬),'atkak ko faloco',stubborn * resistant,心硬，頑固，固執,
,,,'atkak ko 'aca,expensive,價錢昂貴,
'atol,a dam made of rocks piled up,用石頭築成的牆,'atol a kakoreng,edible plant * Climbing Fig,可食植物蔓榕(越橘葉蔓榕),ma'atolay
'atomo,a large earthen jar used by the Amis with a narrow neck and large round body,陶瓷甕，陶製水壺(婦女頂於頭頂，搬運食水之器皿),'atomo no riyar,Olaunpi fig,鵝巒榕(鵝巒鼻之無花果樹),
'atomoay,a plant called Slenderleaf anneslea,台灣安納土樹,,,,
'atoray,earthquake,地震,,,,lonen
'atoto,Caffre Lily * a shade flower (Clivia Miniata) Spider Lily,君子蘭，水仙,,,,wising
,a grass with roots shaped like sweet potatoes,喇叭花,,,,
'aw'aw,to bark * the noise of a dog,狗叫，狗吠,,,,pa'aw'aw
'awa,groin area,兩腿分叉的部位,,,,
'awas,to step over,跨步,,,,
'awming,flexible * easily bends,易彎曲的,,,,dawmi'
'ayam,bird * birds,飛禽之總稱,,,,
,chicken,雞,,,,
'ayaw,in front of ...,之前,,,,
,before,之前,,,,"i'ayaw, ka'ayaw, ki'ayaw, pa'ayaw, paki'ayaw, pasi'ayaw, pasasi'ayaw, patala'ayaw, si'ayawen, sa'ayaw, li'ayawen, sapa'ayaw"
'ca,negative particle,不是，不,aka ka 'ca,do by all means,不得不，不得不,caay
,,,caay ka 'ca,definitely,一定,
,,,O nika'caan pidemak ko nga'ay.,It is best not to do it.,最好不去做，不如不做。,
'cak,ripe * edible,成熟，可吃的,,,,
,cooked done,煮熟,,,,
'ced,black bumblebee,寄生於竹竿內的黑蜂,,,,
'ceng,to be blinded by light,目眩，光線刺眼,,,,
'cic,to singe * burn hair or feathers,毛髮被火燻焦,,,,
'co,an elephant (with light glottal sound),象(引自日語),,,,
,to advance taking for oneself with the advance,擠，推擠,Ma'co no 'aol ko nipalomaan a losay.,The bamboo crowds out fruit trees that were planted.,果樹被竹林擠掉,
'def,to spread out over the whole area,撒佈整個區域,,,,
,to close (heavy glottal stop),關閉,mi'def to loma',to close the house up,關閉門戶,"ledef, sa'edef"
,,,Mi'def ko simal to riyar.,The ocean has a large oil slick.,浮油佈滿海面,
'des,cruel,嚴厲，殘酷，兇悍,,,,
'did,Refer to emi,詳見 emi,,,,emi
'dong,a pair of arm coverings attached together,套袖(手臂套)筒袖,,,,
'dox,a plant called Rose Mallow * (Urena lobata) with berries,種子,,,,'dok
'eciw,a swishing sound,颼(鞭，翅膀等的聲音),,,,"sapa'eciw, rocwi"
'edaw,to fortune tell,卜卦，算命，祭祀用之木具,,,,"pa'edaw, mi'edaw"
'edil,glory * radiance,光亮，閃耀,,,,"ma'edilay, ci'edilay"
'edo,rat,老鼠,,,,
'ekak,to curse,咒詛 ，休克,,,,ma'ekak
'em'em,to keep to oneself worry or trouble,忍受痛苦或困難,,,,
'emamosa,the pupil of the eye,瞳孔,,,,
'emic,pinch * grab hold of,捏，捏住,,,,sa'emic
'enor,anchor of a ship or boat,錨,,,,"'enor, tnol, pa'enor"
'es'es,to whistle (with heavy glottal sound),吹口哨,,,,
,to whittle (light glottal),削薄木料的輕聲,,,,
'eses,Refer to 'ses,詳見 'ses,,,,'ses
'eteng,dam used to stop water so it goes in another direction,築堤使水改道,,,,pi'etengan
,road block marking a detour,柵路改道,,,,
,floats on a net,漁網之浮標,,,,
'etol,sexual arousal * sexual passion,激起性欲，慾火上昇,,,,
'fa,horse,馬,,,,
'faw,to contract a job,承包工,Pa'fawen ako cingra tonini a tayal.,I contracted out to him the work.,我將這些工程給他承包,
'fec,to force oneself to stop speaking,阻止他人說話,,,,
,to tie head with a cloth band at the back of the neck (heavy glottal sound),用毛巾或布條綁頭,,,,
,to exalt oneself * putting others down,厚此薄彼,,,,
,to forbid * not allow (light glottal sound),禁止，不許，不准,,,,
'feng,to throw away,拋棄，丟棄,,,,
'fo,overwhelmed by work * unable to handle something,無法勝任，不能勝任，嫌工作或任務太多或太大,,,,
,stigma from moral failure,道德上的污點，犯法事件,,,,'ilo
,just dessert,點心,,,,
'fong,name of an Amis village,阿美族部落名之略稱，瑞源村落名,,,,
,from sahefong * to have a gully,窪地，深溝，峽谷,,,,
'i,an untranslatable particle at the end of a dependent clause * as for that with a description or explanation following,無從翻譯的詞類，用於主句之後，以描述或說明以下的事,,,,
'i'ic,a white vegetation growing on trees * a kind of mushroom,寄生於木頭上的香菇、蕈類,,,,
'i'ir,to sit on the ground,席地而坐。如狗糞便後，以屁股擦地的動作,,,,
'icang,generic word for dry,乾的總稱,,,,
'icel,strength * power,力量，能力,ci'icel ko faloco',courageous,勇敢，勇猛，信心足,
,,,pa'icelay a sowal,words of encouragement,鼓勵的話，勸勉的話，勉勵的話,
,,,sa'icel  kako,I strive,我自我努力，我自勵自己，我策勵自己，我自我鞭策,
,,,O 'icel no pitoor nira konini.,This is evidence of his spirituality / faith.,這是他信心的力量,
,,,Pa'icelen cingra to sakacaaw ka tolo' nira.,Exhort / encourage him so that he won't fail.,希望鼓勵(勸告)他使他不致跌倒(墮落),
'icep,Betel Palm tree or fruit,檳榔樹,,,,"mi'icep, masa'icep"
'id'id,roasted * to roast * to barbecue,烤，烘烤，烘倍,,,,dohdoh
'idepet,to be tight * not share material things,吝嗇，吝於分享東西,,,,
,to not share feelings * keep own counsel,不把自己的心得或感覺分享給別人，固守自己的計劃,,,,'adepet
'idi,selfish * reluctant to share,自私，吝嗇,,,,
,embarrassed,尷尬,,,,
'idoc,spear,矛，槍，魚叉,,,,kotang
'ifcang,to be stiff * limbs of body not move freely,僵化，僵硬,,,,
'ifowas,to scatter,撒播，擴散，散落,,,,
,to run over,溢出,,,,lifowas
'ikay,lump shaped object,成塊狀,masa'ika'ikayay a so^da,hail,成塊的雪花，雹，霰,
'ikes,hard * mature in the good sense,硬，老，成熟,ma'ikes ko faloco',mature in attitude,態度成熟，心智成熟,
,,,ma'ikes ko tireng,to have a good healthy body,身體(發育)成熟,
,,,ma'ikes ko kilang,the tree is solid (good for building),樹長得很堅實,
'ilo,stigma from moral failur * just dessert,罪過，罪譴,,,,
'ilol,to be lonesome to see someone or someplace,想念，懷念，思念,,,,oron
'ilos,toilet paper * anything used for wiping,擦屁股(排泄後),,,,
'imac,to cut and sharpen the end of a piece of wood like a pencil,銳利，尖銳(指尖形之銳利)，削尖(如削鉛筆),,,,
'imec,Refer to 'mec,詳見 'mec,,,,'mec
'imeced,to be firm * of flesh including muscle or fruit like banana,結實，堅固,,,,
'imer,to keep * take care of,謹慎，節制自愛,,,,
,to not waste,節儉,,,,
,(misa-) to keep watch,小心看守,ma'imer to tireng,have good morals and high standards,有好及高的道德水準，潔身自愛,"ma'imer, misa'imer"
,,,ma'imer to sowal,keep commandments,謹慎說話，講話小心謹慎，堅守誡命,
,,,ma'imer to riko',well groomed,衣著整齊，愛惜衣物,
,,,Misa'imer ko Farisay a tamdaw to demak  Yis.,The Pharisees watched (to find something wrong with) what Jesus did.,法利賽人注目耶穌的行動,
'inal,to desire something good that does not belong to you * � something seen,渴慕不屬於自己的好東西,,,,pa'inal
'inap,jealousy * to be jealous,嫉妒，妒忌,,,,
'inaw,soft as the fuzz on blossoms and stuffing of quilts,柔軟如花的細毛和被窩的毛織原料,,,,
'inco,tight fitting as shoes,緊，如穿小鞋,,,,
,tight of heart * not open to ideas,心中齷齪不開朗,,,,
'inga'ing,to shake the head as in refusal,搖頭表示不同意，不贊成，反對,,,,
'inger,to spin a top * a top,陀螺,,,,'acocol
'inorong,burden * literal or figurative,重擔，包袱，荷物，負荷,'inorong no faloco',heavy hearted * have a problem * trouble for which a person feels responsible,心中包袱，有難題，使人感覺需負責的難關(困難),
'intel,hatred * to hate,憎恨，怨恨,,,,'intex
'intex,Refer to 'intel,詳見 'intel,,,,'intel
'ipoc,pyramid shaped * skinny at the top and wide at the bottom or wide at the top and skinny at the bottom,由大而小，式微，金字塔形，由粗而尖,,,,
'iray,ornamental,裝飾,,,,
,"to boast, show off",誇示，炫耀,,,,"'res, ma'iray"
'iring,to have head bent to the side * as when a baby is asleep,側頭,,,,pawing
'is'is,to shave * referring to beard or hair,剃，刮，理髮,,,,sa'is'is
'isal,portion of community property,分配，分享,O mala'isal kamo tatosa toya omah.,The two of you will share the field.,你們將平分那塊地,pa'isal
'isang,not motivated * to lose interest * to be bored,厭煩,,,,
'ised,to compete,競爭，比賽,,,,"'sid, maa'ised"
'iso,whale,鯨魚,,,,
'it'it,to eat paper or cloth * activity of rats or cockroaches,嚼齧紙張或衣物為老鼠或蟑螂的行動,,,,
,to chew on as meat on a bone,嚼咬骨頭上的肉,,,,
'itis,a long bamboo pole,長竹竿,,,,
'itkiw,Refer to 'aliwates,詳見 'aliwates,,,,'aliwates
'iw'iw,hunger pangs,空腹至極，餓得很厲害,,,,
'iwal,to pry up or apart as with a crowbar,撬開，撬動 ，用橇棍或鐵橇挪開東西(指沉重的石頭或木材),,,,'owal
'iwas,to row a boat,划,,,,sa'iwas
'iwil,lonely * sad * remembering things of the past that bring mixed emotions,孤單，寂寞，悲傷，憂愁，回憶過去的事情而產生複雜的情緒,,,,
,feel left out * uncertain of where one belongs,失落感(在異鄉),,,,
,to feel dislike,厭惡感,Ma'iwil kako toya sowal nira.,I don't like what he said.,我對他那句話感到噁心,
'iyak,to choke from eating or drinking,哽塞因吃或喝而咽塞，因吃東西或飲水而噎住,,,,
'iyof,to blow * as by the wind,吹，風吹,,,,
'iyot,to cut a hole and scoop out a piece of,鑽洞，鑽孔,,,,
,to swirl * referring to water,漩渦,,,,"sa'iyot, 'los"
'kong,an owl,領角鴞(貓頭鷹),,,,
,black as the burn on a pan or soot,燒痕，鍋底或火爐灶上煙燻遺留的黑色粉末,,,,
'li',"a bundle of one hundred stems of grass, one hundred",一百枝一束的茅草,cecay no 'li',one hundred,一百,
,,,cecay a 'li'an,one hundred,一百,
,grass used to root a house,覆蓋屋頂用之茅草,,,,
'lo',condition of being spoiled * not disciplined * of a child,撒嬌,,,,
'loc,to wear * to be worn away,磨損,Ma'loc no nanom ko fokeloh.,The rocks are worn by the water.,石頭被水磨滑(平)了,
'los,Refer to 'ros,詳見 'ros,,,,'ros
'mahay,moo * the sound of a cow,黃牛的叫聲,,,,
'mec,to grab someone at the neck with hands to choke * strangle,用兩手掐人脖子致死，勒死，掐死,,,,'imec
'mek,to sink to the bottom in water,沉落水底,,,,
'met,to hold back * control self,控制，抑制,,,,
'min,complete * all * every one included,全部，完全，整個，所有的,ma'min a makaen,everything is eaten,全部吃光,
,,,Tayra kita a ma'min.,All of us will go.,我們全部都要去,
,,,Pa'min han cingra a pafeli.,Give it all to him.,全部給他,
'mo,new year's cake * made of sweet sticky rice,年糕,,,,
'moy,Taiwan Ivy * a tree,常春藤,,,,
,Fairy Fig * edible fruit and tree,天仙果,,,,
'nec,to crush,揉,minecnec to mata,to crush one's eye,揉眼睛,
'nem,six,六，陸,,,,
'nep,content * familiar and contented with circumstances,沉迷，吸住，迷住,,,,
'nged,a rack or flat object on which to set something as the base for carrying a jar on the head or a mat on which to set a hot kettle,墊熱水壺或熱鍋的網架,,,,
'ngid,to be wormy and rotten,腐壞，腐朽,O ma'ngiday a kilang konini.,This is an unhealthy tree.,這是一棵不健康的樹，這是一棵被蛀壞的樹,
'ngiw,the sound of a living thing,指有生命物的聲音,Awaay ko 'ngiw.,Not a sound can be heard.,一點聲音都沒有,adeses
,,,ma'ngiw ko ngiha',high pitch of the voice,聲音高而尖銳,
'nip,small turtle with pliable back,烏龜，鱉,,,,
,a large sea turtle,海龜,,,,rarokoh
'noc,to swallow,吞，嚥,caay ka 'noc,can't be swallowed,吞不下，無法下嚥,
,,,ma'noc,can be swallowed,可以吞下去,
'o'ol,fog,霧,,,,
,dew * droplet of water from fog,露珠,,,,'arsing
'ocil,to insist on going along with as a child demanding to go with his mother,堅持要同住如小孩強求與母親同住,Mi'ocil ko faloco' ako.,In my heart I identify with (your) going.,我的心順從你的決定，我心與你同住,
'odal,honey bee,蜜蜂,,,,
,honey,蜂蜜,,,,
'odang,sexual sin with the opposite sex whether with married or single person,性騷擾(對異性)，通姦，姦淫,,,,'odangen
,stupidity * no sense,糊塗(對異性),,,,apa
'odangen,commit sexual sin against * rape,犯通姦,,,,
'odawis,to cut off a bunch of betel nut from the tree,把小刀綁在竹竿上採割檳榔果,,,,
'odidal,a thorn tree,火刺木(有刺的樹),,,,
'odot,to wrestle with * to struggle against,搏鬥，打架欺悔,,,,mala'odo'odot
'ofad,ten thousand,萬，一萬,,,,
,white hair,白髮,,,,
'ofcang,stiff *  not easy to move or bend,僵硬(如屍體)不容易彎曲,,,,'ifcang
'ok'ok,to swallow some liquid,吞飲水或液體飲料,,,,
'okak,bone * bones,骨，骨頭,,,,ma'okakay
'okakay,name of an Amis village,花蓮縣光復鄉岡界部落名,,,,
'okem,extremely dry * as the leaves of a plant,乾而脆，如樹葉過份乾燥而脆碎,,,,
'okot,to huddle as when cold,冷得縮成一團,,,,
'olac,to purify with fire,用火煉，爐火純青,,,,
'olalip,name of an Amis village,花蓮縣瑞穗鄉鶴岡部落名,,,,
'olaw,black,黑，黑色,,,,
,name of an Amis village,花蓮縣瑞穗鄉北岡部落名,,,,ma'olaw
'olic,to chant,吟唱,,,,"pa'olic, ma'olicay"
,poetry,詩詞，歌詞,,,,
,psalms,詩篇,,,,
'olid,to visit around,拜訪，造訪,pa'oliday / ma'oliday a fo'is,a shooting star from a comet,流星,holol
,to look for a mate * to date,約會，談戀愛,,,,
'oliyat,to stretch out one's body and limbs,雙腳大開平直的坐姿，四肢伸展狀,,,,'osiyat
'olol,to suck until it is dissolved and swallowed,含在口裡直到溶解,,,,molamol
'omac,Refer to 'ahac,詳見 'ahac,,,,'ahac
'omling,shiny * bright * receiving light and reflecting it,閃閃發光，亮片閃爍,,,,
'onac,Refer to 'ahac,詳見 'ahac,,,,'ahac
'oner,snake * serpent,蛇,,,,
