詞條,英文解釋,中文解釋,阿美語例句,英文例句,中文例句,參見
,name of a village,七脚川部落名，原址在現吉安鄉農業改良場一帶,,,,
cikawasay,a medium * witch doctor who is subject to possession by a spirit,巫婆，巫師,,,,"sikawasay, kawas"
cikay,movement,跑步運動,sacikacikay,to run this and that direction,跑來跑去,
,speed,速度,,,,"comikay, hacikay"
cikcik,to cut up into small pieces,切成一塊,,,,kinacikcik
cikeng,a large earthen water container for water storage (from Amoy dialect),水缸(引自閩南語),,,,
ciker,to lock,鎖住，上鎖,,,,"ta'ta, nit, saciker"
cikil,a finger or toe of the body that is superfluous,多出的手指和腳趾,,,,
ciko,elbow,肘，肘狀物,,,,
,intersection,交叉點,ciko no lalan,intersection in the street,街道之交叉點，十字路口,
,corner,角落,,,,
cikor,name of an Amis village,蕃薯寮坑之地名,,,,Cikor
cikowa'ay,to have papaya trees,產木瓜之地,,,,
,name of an Amis village,台東縣池上鄉富興部落名,,,,
cila,"time when marked, by particles before or after",特定時間之前後,cila sato,next day,次日,"anocila, inacila, icila, tahacila, cilacila"
cilacila,frequently,常常，時常,,,,cila
cilah,salt,鹽,,,,"nah, pacilah"
cilahoday,something that has steam * vapor,有蒸汽的,,,,lahod
cilamitay,to have roots,多根的,,,,
,name of an Amis village,花蓮縣富里鄉豐南部落名,,,,
cilas,reckless * foolish,魯莽的，愚蠢的,,,,
,to live in luxury and wantonness,生活不檢點，放任，放肆,,,,
cilengacay,"See legac, to have that kind of plant",參看 legac 多產月桃之地,,,,
,name of a village,花蓮縣玉里鎮德武落名,,,,
cilidong,to have a place of shade or shelter,有遮蔭之處,,,,lidong
cilifon,to get wages,得酬勞,,,,lifon
cilikesay,to have mosquitos,多蚊(蚊子猖獗)的地方,,,,
,name of an Amis village,台東縣成功鎮麒麟部落名,,,,
cilimaw,to have free time,有空閒，有閒暇時間,,,,limaw
cilisinay,people involved in animistic worship,人們潛心於迷信或禁忌中,,,,lisin
cilosa',to have tears,掉眼淚,,,,losa'
cima,who? * what is the name?,誰，叫甚麼名字？,,,,
cimaanan,to whom?,在甚麼人的地方？,,,,
cimacima,whoever,那些，任何人，誰跟誰,,,,
cimacimaan,to whomever,在某某等人之處,,,,
cimata,to be able to see,能視，能見,,,,
,to wear glasses,帶眼鏡,,,,mata
cimil,a nickname given by outsiders,外號，綽號,,,,
cinamalay,a train,火車,,,,"kasolin, namal, kasoling"
cinang,the name of an Amis village,花蓮縣壽豐鄉池南部落名,,,,Cinang
cinas,to rip * tear apart,(布等)撕裂,,,,
cinaw,basket that is rounded in shape,(插秧時裝秧苗搬運用)半圓形竹籃,pacinaw to kolong,to put a basket (as a muzzle) on the mouth of a water buffalo,把籃子(製成牛的口罩式籃子，以防工作時牛吃農作物)套在牛嘴上,misacinaw
cinco,pearls (from Amoy dialect),珍珠(引自閩南語),,,,
cinga,to look up responding to hearing,聽到聲音則摒氣弄清之狀,sacingacinga,to look back and forth at each other,[因聽到聲音而]東張西望彼此相視,
cingaloan,the name of an Amis village * the Amis name of Fenglin,花蓮縣鳳林鎮鳳信部落名,,,,Cingaloan
cingcing,to change land boundary to add to one own's property,擅改界線以蠶食手段將鄰土地占為己有,,,,
cingdis,to bare ones teeth as a dog does,露出牙齒(如狗),,,,ngocedis
cingki,to become related through marriage of children to each other * the fathers of each couple (from Amoy dialect),親家父(引自閩南語),,,,
cingra,he * she.  See Appendix 1 - Pronouns.,他或她，參閱附錄Ⅰ - 代名詞,,,,
ciokangan,name of an Amis village,台東縣長濱鄉長光部落名,,,,Ciokangan
cipa',branch or fork* as of a river or road,叉路，溪或河之交流,,,,kacipa'ay
cipat,to paste * stick to,黏住，黏貼,,,,kipat
ciped,a diaper,尿布，廚布,,,,
,scrub rag,擦洗用布片,,,,
cipodacay,(something) has a covering / shell,有皮的,,,,podac
cipoh,cosmetics * women's make up,化粧品,,,,"fihon, micipoh"
cirakayan,name of a person - ci Rakay,人名,,,,
,name of a village * where Rakay originated from,花蓮縣鳳林鎮山興部落名 (由名 Rakay 者開拓而得名),,,,
ciremesay,bloody,有血的，流血的,,,,"maremesay, remes"
cirep,a species of bird * a sparrow,華南麻雀,,,,'alic
ciriciri,a bird * White-eared Sibia,鳥名，白耳畫眉,,,,
cirid,to diverge from the main road or path,偏離(正道)，迷失,Mocirid ko faloco' nira.,He thinks differently from the rest / his thinking is wrong.,他的想法和別人不一樣，他的思想偏頗，他的主張錯誤,
ciriyahan,name of an Amis village * place where a person named Riyah originated,花蓮縣鳳林鎮長橋部落名(由名叫 Riyah 者開拓而得名),,,,Ciriyahan
ciro',a form that appears tall and extends upward,舉起，高舉，上升，高昇,Miciro' ko to'em.,The cloud extends upward like a pillar.,雲彩，像柱一樣扶搖直上，雲彩成一柱擎天,
,,,paciro' to kamay,to raise a hand,舉手,
cirokohay,name of an Amis village,台東縣成功鎮芝田部落名,,,,Cirokohay
cirot,a species of bird * Rufous-backed Shrike,棕背伯勞,,,,
cisasela'ananay,one who has the breath of life,他還在呼吸，有生命氣息的人,,,,sela'
citosiya,a motorized vehicle with doors (from Japanese),汽車 (引自日語之自動車),,,,
ciwa',"a separate way, as to take a different road or to take a different view or attitude from the rest",岔路，支路，走不同的路，採取與別人不同的見解與態度,,,,"tiwa', ci'iwi, ciwi, cirid"
ciwadis,to have teeth,有牙齒,,,,wadis
ciwcika,the cross * wood frame on which Jesus was crucified (from Japanese),十字架(引自日語),,,,
ciwciw,baby chick * baby bird,小雞，雛雞，雛鳥,,,,
ciwi,to diverge from the main track,支路，從主道分叉,,,,"ci'iwi, ciwa', cirid"
ciwidian,name of a village,花蓮縣壽豐鄉水璉部落名,,,,
,literally place where there are leeches,字面上係指產有水蛭之地,,,,
ciwing,the name of a species of birds,一種鳥的名稱,,,,
ciwkeng,large earthen water container for storage (from Amoy dialect),水缸(引自閩南語),,,,cikeng
ciwlo,biblical term for elders * the church leaders (from Japanese),教會的長老(引自日語),,,,
ciwlokiw,Presbyterian (from Japanese),長老教會(引自日語),,,,
ciyo',the sound of drops of water,石子或類似物質掉入水中的聲響，水滴掉落水中的聲音,,,,
ciyor,to follow a pattern marked on cloth or paper or wood and cut out,順著劃線切割布料、紙張或木板的動作,,,,
co'a'ang,to face into the wind,逆風而上,Maco'a'ang no fali ko hikoki niyam.,Our plane was facing into a head wind.,我的飛機逆風而飛,
co'af,to swallow incorrectly * choking,飲液體食物不暢而哽噎或悶塞,,,,
co'ay,to get even * with negative or positive meanings,報答，報復(含肯定或否定的回報),,,,sapaco'ay
,to retaliate,復仇,,,,
co'ed,an inconspicuous place * a back corner or room * the inner recesses of,昏暗的地方，房間的角落，…的內部幽暗或隱密處,kasaco'ed no lotok,the various recesses of the mountain,山與山溝成的深邃幽暗的地方,
co'ekoy,to have head down * bowed,垂頭,,,,
co'ep,to sip up (water) * to drink by slurping at the source,伏在水面直接用嘴啜飲,,,,ci'ep
co'is,upside down * reverse,倒栽蔥，顛倒,Co'isen konini,Turn this upside down.,請你把這個顛倒,macaco'is
co'ong,bud,芽，嫩芽,,,,cico'ong
co'os,greedy about eating or consuming something that he did not work to get,貪婪，好吃,,,,
co^co,to be closed in,"緊靠, 排擠",,,,
,to insist on approaching * be forward,保持前進,,,,"co^co, caco^co, talico^co"
co^ing,a apecies of lake fish,淡水魚的一種,,,,
coaco',to stir up water * rile * agitate,攪動水,,,,
coca',a foreign object in one's eye,塵埃進到眼睛中,,,,
coco,breast of a female * udder * teat,乳房,,,,micoco
cocok,to stab * inject with a needle,用針或尖銳的東西刺,Macocok Ko faloco' ako.,I am convicted (from hearing).,我的心被刺痛，聽到…的教訓我非常感動,
,,,Pacocoken ko 'onoc i kadang.,Put the pole in the ring.,請把棒子套(穿)進環中,
cocop,to suck on something,吸舐東西，吮吸,,,,
,to kiss,吻， 親嘴,,,,
,to dip into flavoring,點浸在調味料中,,,,tenas
codad,book,書,,,,"tilid, micodad"
codah,to be bold to the point of violence,勇敢，勇猛,,,,
coenek,to force something in between two objects tightly joined,在兩物件中硬插東西,,,,pacoenek
,to go aground * as of a ship,擱淺(如船),,,,
coerong,to stand end on end * as firewood,一捆捆柴火倒立排放儲藏,,,,
cofay,to return,折返，折回，歸還,,,,"nokay, patiko, pacofay"
cofcof,to force feed * to make eat,強灌別人喝或吃東西,,,,cefcef
cofel,knife or machete holder,刀鞘,,,,
cofelis,to return * receive back,回(信)答謝，回禮，回敬,pacofelis to tikami,return a letter,回信,macacofelis
cohcoh,to suck out from inside,吮吸,,,,
,bells,手銅鈴,,,,tangfol
cohel,perspiration,汗，流汗,,,,
,body smell from notbathing,因沒有洗而發自身體的臭味,,,,
coho',the back of the knee where leg bends,"膝蓋關節內彎部,股 脛相接內彎處",,,,
cohong,to go from place to place where the dead person used to spend his time,造訪故人住過或去過的地方以示追思,,,,
cokacok,to ascend * go up hill,向上走，向上爬山,,,,
cokap,shoes,鞋子,,,,"cicokap, pacokap"
cokar,to kick * thresh feet * to pedal with feet,用腳踢，用腳踩踏,,,,cokay
cokcok,to lock,鎖住，上鎖,,,,
cokep,storage place for possessions or tools * Sometimes Amis made a lean-to next to the outside wall of their house for this purpose.,阿美族的房子旁邊另蓋一個小房子當庫房，秘藏寶物的地方，寶庫,,,,
coker,to prop up * support * help * as the cross pole in the hitch of a wagon,支持，支柱，幫助，協助；如十字形柱子是在繫住牛車的,,,,
cokeroh,to push literally,字面上的推,,,,
,to push figuratively,喻意上的推,,,,
cokis,supporting bamboo used in building the roof of a house,覆蓋茅草屋頂的支架,,,,
cokiwat,to get something out of reach with an instrument,用竹竿助手長之不足以取東西,,,,sacokiwat
cokoi,a table (from Japanese),桌子(引自日語),,,,
cokor,walking stick * cane,"拐杖, 手杖, 捧",,,,tanocokor
colal,to appear after not being seen for a long time,久違後突然出現,,,,
colcol,a person sent with a message or task * to send with a message,使喚別人做事,,,,
coled,to insert * push inside a slot or opening * put into a handbag or basket,收某物入口袋或手提袋中,,,,
colek,at once,立刻，短暫…，暫時,,,,
coli,return * retort,回嘴，頂嘴，頂撞,,,,"pacoli, macacoli, macacolicoli"
colo',to transport * to move from one place to another,運送，把東西從一個地點搬到另一個地方,,,,
colok,to pierce * as with a spear,用槍矛刺穿人或動物,,,,
,to dig under and lift up as when transplanting plants,移植草木時挖深根部以便連根移走,,,,
comcom,a dark narrow place enclosed in a mountain pass,羊腸小徑，狹窄幽暗的地方,,,,"'iw, kicomcom"
comikay,to run as action,跑步,,,,cikay
comod,to enter,進入,,,,"micomod, picomodan, sacomod"
conacon,the rippling of water,水被攪動貌,,,,
congacong,to come without invitation * no embarrassment in doing something,不請自來(如宴會時)，做事不忸怩作態,,,,"congcong, mikicongacong"
congaw,marks on the faces of neighboring tribal peoples * thus becoming a term for Taroko and Atayal peoples,住在附近的部落在臉上都劃有記號因此被稱為太魯格族和泰雅族。,,,,Congaw
congdis,to bare teeth as a dog does,露齒如狗,,,,
conged,to block * hinder * stop,妨礙，阻擋，封鎖，停止,paconged nira ko lalan.,He has blocked the road.,他封鎖了道路,
conoh,to give to someone else the responsibility for * as from laziness,把責任或工作推卸給別人,paconoh to raraw,not take responsibility for wrong doing,把罪(過失)歸咎於別人,
,,,Aka paconoh to tayal iso i takowanan.,Don't give me your work.,不要把你的工作推卸給我,
copa,to come up close to a person,挨近別人,,,,
copcop,to suck * as the activity of a mosquito to suck blood,吸，咂，如蚊子之吸血,,,,cepcep
copelak,astringent * a feeling in the mouth of puckering,嘴有澀味(吃水草時),macopelakay ko sowal,figuratively: speech is unacceptable,在喻上: 所說的話無法接受,
copelis,to spray water out of the mouth as when dampening something,當弄濕東西時用嘴巴噴水的舉動,,,,
,animistic practiceinvolving driving out spirits,萬物有靈信仰含酒噴出趕鬼的舉動,,,,
coperas,"to feel good and firm in the mouth, as sweet potatoes cooked just right and not mushy",味道佳酥，如地瓜煮後之味道，但不易嚥下,,,,
copo,an embankment (from Amoy dialect),堤防(引自閩南語),,,,
,name of an Amis village located near an embankment,座落堤防邊的阿美族部落,,,,Copo
cora',the bloom of grass,花，花開的狀態,,,,
,horns of an animal,動物的角,,,,"pohong, waa', macacora', micora'"
,a flower pinned as an ornament in the hair,花插在髮上當首飾,,,,
coracor,to force to do something,催促，強迫做某事,Pacoracoren no mikowanay kami a palasofitay.,The rulers forced us to join the army.,政府徵召我們去當兵,oror
coraf,to burn,燒，燃燒,Micorafay ko fali.,The wind is burning hot.,風吹一陣熱風,
corah,dried and shaped by fire * referring to an object,油燈，火把,Micorah i namal a nga' to cokor.,Canes are shaped in fire.,手杖是用火打燒成形的,
,fire spread to include house or trees or forest,火蔓延燒盡房子或森林,Macorah ko loma'.,Fire spread to the house burning it up.,火已燒盡整個房子,dawdaw
coray,to push dirt as a road grader does * as a pig does,推土(推土機)，挖地(如豬),,,,
corcor,to push against * as the activity of a road grader,推土，如推土機的活動,,,,
,to root around in the mud * as the activity of a pig,挖掘泥土，如豬用鼻子掘翻泥土的舉動,,,,sacorcor
coroh,to push away from oneself,從某人身上卸下來,,,,
,to relieve oneself of responsibility,減輕某人的責任或負擔,,,,
corok,each in turn,"輪流, 輪番",micorok to kahacecacecay a loma',to go to each home,挨家挨戶,macacorocorok
coscos,assembly line activity * as when people or objects come to a worker in fast succession,接二連三的催促(討債)，接二連三的脅迫人做事,,,,
cowa,where?,那裏，那兒，何處,,,,"icowa, naicowa, talacowa, hacowa, pakacowa, icowaay"
cowaco',to stir up water,攪動水,,,,
cowat,to spread out,擴展,Micowat ko dateng.,The vegetables spread out as they grew.,蔬菜會成長,
,to take in new territory as to extend rule,占領新的地區如擴張界線,,,,
cowi',"a bird * Common Sandpiper, appears at sunset with its call",磯鷸，草鷸之類，黃昏時才出現,,,,
coykeng,a large water container (from Amoy dialect),水缸(引自閩南語),,,,
coyoh,original meaning was someone sent by the elders,原意是某人受長者的指使當差,,,,
,biblical usage - angels,聖經的用法 - 天使,,,,
crnoh,for body hair or fur to stand on end,毛骨悚然，毛髮直立,,,,
cyofo,inner tube (from Japanese),內胎(車輪的)(引自日語),,,,
da'at,to suffocate * smother * in or out of water,被煙或水嗆住不能呼吸,,,,
da'ci,the name of a species of bamboo,一種很特別的竹子,,,,
,young shoots of a slender edible bamboo,細長可食的竹筍，竹箭筍,,,,
da'moh,smooth * not rough * as of wood,光滑， 不粗糙,,,,
,soft * not scratchy,柔，虛，不粗,,,,dihmih
da'oc,to the end,直到終點,,,,
,biblical meaning - eternal,聖經的用法是永遠的意思,mida'ocay a 'orip,eternal life.,永恆的生命，永遠的生命,
,,,Tahada'ocen ko demak.,Continue forever doing the activity.,繼續不斷地做這個活動(工作)，持之以恆,
da'so,a level * a plumbline,水平錘線，測鉛線,,,,
dacidac,ring worm * skin disease,白癬，皮膚病,,,,
dacong,to immerse * plunge into water,浸入水中，沉浸,,,,
,to identify with a way of life,認同一種生活方式,,,,defong
dada,to call to sit down to eat,邀請人坐下吃飯口頭禮語，請…,,,,
,to call to go ahead and do something,禮讓別人走在前頭或 讓先著手做事,,,,
dadacdac,a large green beetle,大型綠色昆蟲，蟬,,,,dadayday
dadacidoc,the name of a flimsy green spray of green * fern-like plant,羊齒植物的一種,,,,
dadangoyan,"a raft made of large bamboo poles, used for fishing and catching minnows",竹筏(捕魚用),,,,dangoy
dadaya,evening * up till midnight,黃昏，夜晚,ano dadaya,tonight,今夜，今天晚上,
,,,idadaya,last night,昨夜，昨天晚上,
dadayday,a large green beetle * acacia,蟬,,,,dadacdac
dadico,snug fitting * just right * fitting the space,剛好，適其所；恰到好處；東西適合一個空間，不大不小,,,,
dadimaw,to rock or jolt lightly * to put to sleep,把嬰孩抱起來輕搖促使睡覺,,,,
dadinas,woman's headdress,女子盛裝時之頭飾,,,,
dadingo,glass,玻璃，眼鏡,,,,dadingoan
dadingoan,mirror,鏡子,,,,dadingo
dadipis,cockroach,蟑螂,,,,
dadiwal,water crickets found in stagnant water,生活在水中的水蟋蟀,,,,
dado',to identify with a person so that he opens up his heart * to comfort,認同一個人而開啟心門；安慰，慰藉,Madado' no singsi ko faloco' ako.,The pastor broke down my defenses of heart (leading to tears) .,牧師去除了我心中的防衛線(使他感動得掉淚),
dadotos,one following the other,一個接一個,Madadotos ko tayal nangra.,They take responsibility in succession * one after the other.,他們的責任一個接一個地承先啟後(相承續),
,,,O dadotosen iso kako.,You are to succeed me.,你將要繼承我…,
dadoy,to weigh * use scales,重量的度量衡、稱、秤,,,,"tingting, sadadoy"
dafak,morning,朝，早晨,ano dafak,tomorrow,明天,"pacem, tahadafaken"
,,,idafak,this morning * earlier in the day,今天早晨,
dafdaf,flat tableland * a plateau,平坦的土地、高原，山上的台地,,,,
dafo',to carry grain from the granary to the mill,從穀倉取榖碾米,,,,
dafong,possessions * things that you own,所有物，財產,,,,
,riches,財富，財產，財寶,,,,"cidafongay, padafongan"
dahang,to be disturbed by noise and confusion,喧囂聲，吵鬧，喧雜，喧嘩,,,,ngil
dahcong,to get inside a container * fit inside * as to get into a bathtub,置身於容器而適中，如入浴缸中,,,,
dahdah,anger held in the heart and shown in the face * aggravated silent response,怒形於色，把怒氣強忍在心中且面紅耳赤，劇烈的靜態反應,,,,
dahkat,expectancy * anticipation to see something mysterious or hidden from view,期盼，期待，企盼，期待看到神秘或隱藏著而眼睛尚未看到的東西,,,,
dahoc,voice quality changed * wavering as when hungry,音質改變，如生氣時聲音發生震顫現象,,,,
dahpay,to hang up washed clothes,攤開披開曬衣,,,,pidahpayan
dahtal,open space that formerly was woods or brush,以前是叢林灌木，現已闢為空曠之地,,,,
dakaw,to board a vehicle or animal,搭乘交通工具，乘在…之上,,,,
dakidakit,a tree,毛海棗,,,,
dama,to help out * do something for * to support * to help lift literally or figuaratively,扶助，爲了某人幫忙做事、支持，字面上或喻意上的幫助,Padamaen kako.,Help me out by supporting.,請你(妳)幫助我，請協助我,
damay,moss that grows in water * both in the ocean or rivers,長在水中的苔癬，淡水或海水中的青苔,damay no riyar,seaweed,海苔,
damdam,ordinary green pepper,一般的青椒,,,,
,hot peppers,辣椒,,,,
damek,to roast sweet potatoes in ashes,把番薯埋在沙中上面生火烤熟番薯的方法,,,,
damihmih,soft and easy to handle * with reference to thin cloth,柔軟光滑容易處理，如薄的衣服料,,,,
damsay,gentle * meek * not easily ruffled,溫和的，溫順的，柔和的，謙恭的，不容易發脾氣,,,,
damso^,satisfied * pleased with someone,滿足，給某人高興,,,,damso^
dangah,large Chinese concave frying pan,大圓鍋,,,,
dangka,(Sesamum indicum) * a herb,芝蔴,,,,
dangoy,to swim,游泳,,,,dadangoyan
danis,a crawling vine that has a large bean,能結大豆的藤蔓植物,,,,kakoyol
danta',to die suddenly without illness * as to be killed in an accident,死於非命，如因事故罹難者,,,,
daoc,something growing in the shade without adequate light,溫室中的植物，因陽光不足，長相不健全,,,,
dapdap,to lap up * as fire reaching out * spread,火勢蔓延狀,,,,
dapiyac,slate rock used in building,建築用石板,,,,
dapo,to cover the body * use clothes to cover,裹身，用布包身體,,,,
dapong,to cover or shield from sight referring to something that shouldn't show like a naked child or a woman's private parts,掩蓋，遮蔽，按指掩蔽裸身的小孩或女人的隱私部分,,,,
dapowaw,fruit of the plant called Momordia cochinchinensis,木鼈子 (山苦瓜),,,,
data,square * four equal sides,正四方形，等邊四邊形,,,,
datadat,tongue sticking out * panting as of a dog,拖著長舌如氣喘的狗，被殺而腸子外洩之謂,,,,
datay,a plant named Murraya paniculata,月橘(七里香),,,,
dateng,generic term for vegetables,蔬菜的總稱,,,,"sinafel, pisadatengan"
,any kind of cooked food served except rice,一切的副食品(飯以外),,,,
,[No English description],黑仔菜,,,,tatokem
datok,a stringed instrument * a primitive harp,線琴，原始的口琴(豎琴),,,,tiftif
datong,a tree stump left after cutting,樹木的殘株，樹木被砍伐後所遺留下來的頭部,,,,
dawa,to watch grain or produce while drying,"守望, 看顧, 監督",,,,
,to defeat (Hualien),打敗(花蓮光復語),,,,
dawdaw,generic for any kind of lamp,照明用具的總稱,,,,
,candle,蠟燭,,,,padawdawan
,electric light,電燈,,,,
,to smoke and dry with fire * as meat,薰乾(如肉),,,,
dawmi',limber * not stiff,柔軟的，不僵硬的,,,,
,the state of one's health after illness before feeling strong again,病體初癒在尚未完全恢復健康以前的身體狀況,,,,
daya,Taiwan Elderberry (Sambucus formosana) a tree,台灣接骨木,,,,
dayna,small bamboo poles under a grass roof used for support,用箭竹密編作為茅頂的托架,,,,
dayom,to not be able to do all that has to be done,無法勝任應該完成的工作，未能完成該做的事,,,,difak
decdec,close together * tight fitting,密置(不浪費空間),,,,
defak,a bed of dirt for gardening,種菜用的菜圃,sadfadefak ko pipaloma'an niyam.,The place we want to build our house is not level ground.,我們的建地有如菜圃不平坦,
defit,hurt feelings from action or words of another,因別人的行動或言語而傷感情,,,,
defo,a plant called Dombeya natalensis with edible fruit,一種植物的名稱，百鈴花,,,,
,Mountain Rose-mallow plant,山芙蓉,,,,
defong,to immerse * literally in water,浸入水中,,,,
,to figuratively immerse * identify with,寓意上有沈浸之意,,,,cdo
dekong,hollowed out * a cleft place in a tree or log,"中空的, 樹幹中空或凹陷部份",,,,
demak,an activity * a happening,活動，事件,,,,
,the things one does,人為的事情，人做的事情,Katalawan ko demak nira. Literally,His affair is something to be afraid of. / He is headed for trouble.,字面上：他所做的事情令人擔心/他面臨困難,
,to move,移動，挪動,Aka dademaken koya tilid.,Don't move the papers.,不要移動那些紙張,
demdem,to endure * referring to illness or personal feelings,忍耐病痛或個人感覺,,,,
demet,jungle-like condition of plants all growing without care,灌木叢生，叢林,,,,
demi',kitchen,廚房,,,,
denga,contagious * spread * of illness or bad attitudes or evil or sin,疾病、壞態度，邪惡或罪的傳染,,,,
dengan,Refer to edengan,詳見 edengan,,,,edengan
di'i,to sleep along side,"睡在…人的旁邊, 傍著睡",,,,
,a veiled reference to having sexual relations,發生性關係的暗語,,,,
dicoh,to poke out * pluck out * as of an eye,摘取眼睛，挖眼睛,,,,
,to loosen * pull out,鬆解，卸開，鬆脫，解脫,,,,
dihapal,level land used in farming,適於農耕的平坦土地,,,,
,straight and flat whatever the angle,把任何稜角磨平,Kilimen ko dihapalay a fokeloh to malo 'anengang.,Look for a flat rock to sit on.,去尋找扁平的石頭當櫈子坐,
dihdih,to stroke the head (of a child or dog) comforting,撫摸小孩或狗的頭部示慰,,,,
dihif,cave * den,洞穴,,,,
dihko,"warm, with figurative as well as literal meaning",溫暖，寓意上和字面上都有同樣的意義,Dihko ko faloco' ako.,I am encouraged in heart after having been afraid or upset i.e. comforted.,我感到溫暖(恐懼或生氣之後) / 感到安慰,
dihway,too large * of clothing,鬆鬆，太大，如太大不合身的衣服穿起來寬鬆,,,,hingway
dika,a plant called Homalanthus,一種植物的名稱，單萼木,,,,pirora'ay
dikidiki,name of an Amis village,台東縣卑南鄉利吉部落名,,,,Dikidiki
diko,to sleep together * of animals,動物的睡姿,,,,
dimata,to mend nets,補網,,,,
dimata',to balance and carry two things on the two ends of a bamboo carring pole * balancing on the shoulder,肩挑，把荷物捆在竹竿的兩端而肩挑著,,,,
dimok,metal at the base of a knife blade,刀和柄相接處套在木柄上加固木柄的鐵環,,,,
dimokos,to watch * care for,照顧，看顧,,,,
,to fell responsi - ble for,負責任，責任感,,,,
,to give direction to * correct,指示方向，匡正,,,,
dingac,to have skin cut by grass,皮膚被草割傷,,,,
dinget,a running nose,鼻涕,,,,ngidet
dipdip,to peek * take a quick look,窺視,,,,
,to secretly watch,偷看，悄悄地看,,,,hining
dipi,a shelter * to seek refuge near * as to hide behind a fence or a rock,避難所，尋找避難處，如隱藏在圍牆或岩石後面,,,,
dipong,bird's nest,鳥巢,,,,
,Japan * Japanese,日本，日本人,,,,ripon
dipot,to take care of * including the rule or management of * to protect * hover over,照顧，養育，扶養，包括治理或掌管，保護，徬徨，翱翔,nay kita to ko dadipotay.,Let's get married.,願我們互相照顧(讓我們結婚吧！),
disdis,to dig out roots and throw away the roots of bamboo,砍伐樹或竹時削除根或枝葉的舉動,,,,
dita',a lump of clay for making pottery,製陶瓷的土料,,,,
,clay * a type of soil,黏土,,,,
ditdit,to give or take a small part or portion,一點一點地結不乾脆,Maditdit ako ko piala.,I gradually took.,我漸次地拿,
,to gradually pay off,分期付款，漸次地付,Ditditen a pafeli.,Gradually give / pay (him).,請你漸次地給付他,
ditek,to measure * a measure * one meter,測量，一公尺,Tolo a ditek ko omah niyam.,Our field is three tenths of a hectare.,我們有三分地,
,to be closely woven to weave closely,精密地編織,,,,
,trodden down * steam roller used on a road to pack down,踩硬，踐踏，壓路機壓擠路面,,,,fakeciw
diwas,to stretch and wind tangled thread,拉長和纏結線,,,,sapidiwas
dnget,to block * hinder * stop,妨礙、阻擾、塞住,,,,conged
do'eng,deaf,聾，失聰，耳聾,,,,talido'eng
do'es,bone marrow,骨髓,Tahado'es no 'okak ko adada ako.,The pain I have goes into the core of my bones.,痛至骨心,
do^do,to follow step by step after someone,跟踪某人的腳步,,,,
,to obey * follow instructions * do like an example,服從，順從教訓，照例子做，描摹樣本,,,,
docidoc,to eat on something that is cut up into bite sized pieces,將未經切裡的蔬菜狼吞虎嚥,,,,docadoc
docoh,to pluck out * as of an eye,鬆解，卸開，鬆脫，解脫,,,,dicoh
dodang,a tray or trough for beating out rice or millet,脫谷箱，臼，舂米的盆形木具，方臼舂米,,,,
,a utensil in old Amis culture from which legends sprang,阿美族古文化的用具，從此產生了阿美族的傳說,,,,
,a coffin (Kwangfu-Hualien dialect),棺材(花蓮光復語),,,,
dodem,screened so that something is not seen clearly,被某物遮蔽而陰暗,Madodem no to'em ko cidal.,The sun is hidden by clouds.,太陽被彩雲遮掩(所以天氣顯得陰暗),
,,,Madodem to ko cidal.,It is almost sunset.,已經是黃昏時分了,
,,,Madodem ko dadingoan ako.,My glasses are fogged up.,我的眼鏡模糊不清，我的鏡子模糊不清,
dodoh,hollow space in the center of a tree or bamboo,樹幹中空，樹幹的凹陷處,dodoh no tiftif,container for mouth harp,口琴的盒子,"masadodohay, cidodohay"
dofot,a shoulder bag * something carried by a shoulder strap,肩袋，衣服的口袋,,,,
dohdoh,roasted * to roast * barbecue,烤的，烘烤，烤過的肉,,,,'id'id
dohkit,to pull open a seal or some - thing stuck together,拉開封印或解開互相黏著的東西,,,,
doka',wound * sore * cut,傷，創傷，潰爛，割傷,Madoka' ko faloco' nira.,His feelings are hurt.,他的心受創傷,padoka'
dokdok,to do something privately without telling anyone * secretly,祕密地私自製造東西或做事情，閉門造車(做事不讓人知道),,,,
dongec,the ends of rattan plant which was an important part of Amis diet,籐心，阿美族重要的菜餚,,,,
dongi,name of a life giving spirit that dwelt among the Amis bring. ing comfort and direction. Dogi especially protected children and pregnant mothers.,阿美族古代傳統觀念中那位賜生命及保護小孩和懷孕婦女的神明,,,,
dopoh,to work hard and fast,殷勤工作，勤奮,,,,
dotoc,to add a piece making something long enough * to connect a piece,增加一些東西使那件東西夠長，使另一塊連接,,,,
,to continue work the parent did * inheriting,繼續做父母所做的事情，繼承，承先啟後,,,,
edeng,only,唯，只有，僅僅，獨一,,,,"maedeng, edengan, dengan, paedeng"
edengan,only,僅僅，唯一,,,,dengan
efer,to jump from one place to land at another * to leap,從此地飛到彼岸，飛躍，跳躍,,,,"miefer, maefer"
eked,separate * form clique,分離，組成派系，私黨,,,,misaeked
ekim,silver,銀,,,,tadaekim
emi,wheat,小麥,,,,"'did, katoemi, tadaemi"
epah,wine * intoxicating drink,酒，酒精製品飲料,,,,
epang,bread (from Japanese),麵包 (引自日語),,,,
epip,a flute,笛子，哨子,,,,tipolo
epoc,use * value,用處，價值,ciepocay,has value,有用，有價值,po
,,,awaay ko epoc,no use,沒有用，沒有價值,
etan,profit * earnings from work,利益，利潤,,,,milietan
fa'det,hot,熱的，燙的,,,,
