letter	IPA
sh	ʃ
lh	ɬ
c	θ
g	ŋ
'	ʔ
f	f
z	ð
y	j
p	p
b	b
t	t
d	d
k	k
q	q
s	s
h	h
m	m
n	n
r	r
l	l
w	w
i	i
a	a
u	u
e	e
o	o
