original	standard
a:	aa
e:	éé
i:	ii
o:	oo
u:	uu
ə:	ee
ɨ:	ɨɨ
ʉ:	ʉʉ
T	tr
D	dr
θ	th
L	lr
ʔ	'
ꟈ	dh
e	é
ə	e
