original	Wutai	Eastern	Dona	Wanshan	Maolin
rh	dr	dr	NA	NA	dr
Rh	Dr	Dr	NA	NA	Dr
l	lr	lr	lr	lr	lr
L	Lr	Lr	Lr	Lr	Lr
lh	l	l	l	l	l
Lh	L	L	L	L	L
z	dh	dh	dh	dh	dh
Z	Dh	Dh	Dh	Dh	Dh
u	u	o	u	u	u
U	U	O	U	U	U
