original	Nanwang	Zhiben	Xiqun	Jianhe
ng	ng	ng	ng	ng
l	lr	lr	lr	lr
T	tr	tr	tr	tr
D	dr	dr	dr	dr
Z	dr	dr	dr	dr
ll	ll	ll	ll	ll
p	p	p	p	p
b	b	b	b	b
t	t	t	t	t
d	d	d	d	d
k	k	k	k	k
g	g	g	g	g
'	'	'	'	'
R	'	'	'	'
c	c	c	c	c
v	b	v	v	v
s	s	s	s	s
z	d	d	d	d
h	h	h	h	h
m	m	m	m	m
n	n	n	n	n
r	r	r	r	r
L	l	l	l	l
w	w	w	w	W
y	y	y	y	y
i	i	i	i	i
a	a	a	a	a
u	u	u	u	u
e	e	e	e	e
