original	Nanwang
ng	ng
ŋ	ng
T	tr
ʈ	tr
D	dr
ɖ	dr
L	l
ɭ	l
l	ll
'	'
ʔ	'
e	e
ə	e
sh	s
c	c
d	d
j	y
y	y
o	u
ɛ	e
a	a
b	b
g	g
h	h
i	i
k	k
m	m
n	n
p	p
r	r
s	s
t	t
u	u
v	v
w	w
