original	standard
p	p
t	t
k	k
q	q
'	'
b	b
d	d
g	g
m	m
n	n
ng	ng
ts	c
tj	tj
dj	dj
s	s
h	h
v	v
z	z
l	l
r	r
w	w
y	y
ḍ	dr
ɫ	lj
