original	Southern	Xiuguluan	Coastal	Malan	Hengchun
ng	ɟ	ɟ	ɟ	ɟ	ɟ
g	ng	ng	ng	ng	ng
ɟ	ng	ng	ng	ng	ng
u	u	o	o	o	o	
o	u	o	o	o	o
