original	Wutai	Eastern	Dona	Wanshan	Maolin
D	dr	dr	NA	NA	dr
L	lr	lr	lr	lr	lr
z	dh	dh	dh	dh	dh
T	NA	tr	NA	NA	NA
o	u	o	o	o	o
