original	standard
chy	ci
ǥ	h
ch	c
cy	ci
dw	do
dy	di
gw	go
gy	gi
kw	ko
ly	li
mw	mo
my	mi
nw	no
ny	ni
pw	po
py	pi
sy	si
tw	to
ty	ti
?	
u	o
