letter	IPA
ng	ŋ
b	β
l	ɬ
r	ɾ
y	j
R	ʁ
'	ʔ
e	ə
p	p
t	t
k	k
q	q
s	s
z	z
h	h
m	m
n	n
d	d
c	c
g	g
w	w
i	i
a	a
u	u
o	o
