letter	IPA
ng	ŋ
p	p
b	ɓ
t	t
l	ɗ
k	k
'	ʔ
c	ʦ
f	f
v	v
s	s
z	z
h	x
m	m
n	n
r	ɽ
y	j
i	i
e	e
a	s
u	u
ʉ	ɨ
o	o
