letter	IPA
ng	ŋ
oe	œ
ae	æ
p	p
t	t
k	k
'	ʔ
s	s~θ
z	z~ð
S	ʃ
h	h
m	m
n	n
r	r
l	l
w	w
y	j
i	i
e	ə
a	a
o	o
:	:
