letter	Eastern	Northern	Central	Southern
dr	ɖ	ɖ	ɖ	ɖ
tj	c	c	c	c
dj	ɉ	ɉ	ɉ	ɉ
lj	ʎ	ʎ	ʎ	ʎ
ng	ŋ	ŋ	ŋ	ŋ
p	p	p	p	p
b	b	b	b	b
t	t	t	t	t
d	d	d	d	d
k	k	k	k	k
g	g	g	g	g
q	q	q	q	q
'	ʔ	ʔ	ʔ	ʔ
c	ʦ	ʦ	ʦ	ʦ
v	v	v	v	v
s	s	s	s	s
z	z	z	z	z
h	h	h	h	h
m	m	m	m	m
n	n	n	n	n
r	r	r	r	r
l	ɭ	ɭ	ɭ	ɭ
w	w	w	w	w
y	j	j	j	j
i	i	i	i	i
u	u	u	u	u
e	ə	ə	ə	ə
a	a	a	a	a
