letter	Tgdaya	Toda	DeluValley
ng	ŋ	ŋ	ŋ
p	p	p	p
b	b	b	b
t	t	t	t
d	d	d	d
k	k	k	k
g	g	NA	g
q	q	q	q
c	ʦ	ʦ	ʦ
j	NA	NA	ɟ
s	s	s	s
x	x	x	x
h	ħ	ħ	ħ
m	m	m	m
n	n	n	n
r	ɾ	ɾ	ɾ
l	l	l	l
w	w	w	w
y	j	j	j
i	i	i	i
e	e	ə	ə
a	a	a	a
u	u	u	u
o	o	o	o
