letter	IPA
ng	ŋ
p	p
b	b
t	t
d	d
k	k
g	g
q	q
c	ʦ
j	ɟ
s	s
x	x
h	ħ
m	m
n	n
r	ɾ
l	l
w	w
y	j
i	i
e	ə	
a	a
u	u
o	o
