letter	Nanwang	Zhiben	Xiqun	Jianhe
ng	ŋ	ŋ	ŋ	ŋ
lr	ɮ	ɮ	ɮ	ɮ
tr	ʈ	ʈ	ʈ	ʈ
dr	ɖ	NA	NA	NA
p	p	p	p	p
b	b	NA	NA	NA
t	t	t	t	t
d	d	d	d	d
k	k	k	k	k
g	g	NA	NA	NA
'	ʔ	ʔ	ʔ	ʔ
c	NA	NA	NA	ʦ
v	NA	v	v	v
s	s	s	s	s
z	NA	z	z	NA
h	h	h	h	h
m	m	m	m	m
n	n	n	n	n
r	r	r	r	r
l	ɭ	ɭ	ɭ	l
w	w	w	w	w
y	j	j	j	j
i	i	i	i	i
a	a	a	a	a
u	u	u	u	u
e	ə	ə	ə	ə
