letter	IPA
ng	ŋ
p	p
t	t
k	k
q	q
'	ʔ
b	β
s	s
z	z
R	ʁ
h	h
m	m
n	n
l	r
d	ɮ
w	w
y	j
i	i
a	a
e	ə
u	u
