letter	IPA
ng	ŋ
p	p
t	t
k	k
'	ʡ
^	ʔ
c	ʦ
f	b
d	d
s	s
z	z
x	x
h	ħ
m	m
n	n
r	r
l	[r|ɾ]
w	w
y	j
i	i
e	ə
a	a
u	u
o	o
