letter	Southern	Xiuguluan	Coastal	Malan	Hengchun	Qilai	standard
ng	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ
p	p	p	p	p	p	p	p
t	t	t	t	t	t	t	t
k	k	k	k	k	k	k	k
'	ʡ	ʡ	ʡ	ʡ	ʡ	ʡ	ʡ
^	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ
c	ʦ	ʦ	ʦ	ʦ	ʦ	ʦ	ʦ
f	b	f	f	f	f	f	f
d	d	ɬ	ɬ	ɬ	ɬ	ɬ	ɬ
s	s	s	s	s	s	d	s
z	NA	NA	NA	NA	NA	z	z
x	x	x	x	x	x	x	x
h	ħ	ħ	ħ	ħ	ħ	ħ	ħ
m	m	m	m	m	m	m	m
n	n	n	n	n	n	n	n
r	r	r	r	r	r	r	r
l	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ
w	w	w	w	w	w	w	w
y	j	j	j	j	j	j	j
i	i	i	i	i	i	i	i
e	ə	ə	ə	ə	ə	ə	ə
a	a	a	a	a	a	a	a	
u	u	u	u	u	u	u	u	
o	o	o	o	o	o	o	o
