letter	Zhuoqun	Kaqun	Tanqun	Luanqun	Junqun
ng	ŋ	ŋ	ŋ	ŋ	ŋ
ci	NA	NA	NA	NA	ʨi
p	p	p	p	p	p
b	b	b	b	b	b
t	t	t	t	t	t
d	d	d	d	d	d
k	k	k	k	k	k
q	q	q	q	q	NA
'	ʔ	ʔ	ʔ	ʔ	NA
c	ʦ	ʦ	NA	NA	ʦ
v	v	v	v	v	v
s	s	s	s	s	s
z	ð	ð	ð	ð	ð
h	x	x	x	x	x~χ
m	m	m	m	m	m	
n	n	n	n	n	n
l	l	l	l	l	l~ɬ
i	i	i	i	i	i
a	a	a	a	a	a
u	u	u	u	u	u
-					
