letter	IPA
ng	ŋ
aw	au
ay	ai
ey	ei
ow	ou
uy	ui
e	ə
o	ɔ
c	ts
h	ħ
j	dz
l	ɮ
r	ɾ
y	j
p	p
b	b
t	t
d	d
k	k
g	g
q	q
s	s
x	x
m	m
n	n
w	w
i	i
a	a
u	u
