wakelin	standard	modern_tokens	wakelin_gloss	modern_gloss
ařwa	adoa	87	two	two
kařwan	kadoan	30	other	other
ařima	alima	64	five	五
vařit	vazit	9	bamboo.strips	藤 'rattan'
sipřutan	sipzotan	1	strike	whip
