source_id,record,sentence_id
Amis_56,GLOSBE_REVIEWED_ZHO_1e042dbe2ea788c0,GLOSBE_ami_zho_TMEM_U000059
Amis_57,GLOSBE_REVIEWED_ZHO_90cb489538fd834a,GLOSBE_ami_zho_TMEM_U000060
Amis_58,GLOSBE_REVIEWED_ZHO_35cb1778af6c3f2c,GLOSBE_ami_zho_TMEM_U000061
Amis_59,GLOSBE_REVIEWED_ZHO_9d5b0800c5b91d2f,GLOSBE_ami_zho_TMEM_U000062
Amis_60,GLOSBE_REVIEWED_ZHO_4a37de8ffddebd50,GLOSBE_ami_zho_TMEM_U000063
Amis_61,GLOSBE_REVIEWED_ZHO_dda69606b4e321fa,GLOSBE_ami_zho_TMEM_U000064
Amis_62,GLOSBE_REVIEWED_ZHO_923bef51273547a7,GLOSBE_ami_zho_TMEM_U000065
Amis_63,GLOSBE_REVIEWED_ZHO_fdc895132efca755,GLOSBE_ami_zho_TMEM_U000066
Amis_64,GLOSBE_REVIEWED_ZHO_7743fa14ced8abbd,GLOSBE_ami_zho_TMEM_U000067
Amis_65,GLOSBE_REVIEWED_ZHO_03b753787340d06f,GLOSBE_ami_zho_TMEM_U000068
Amis_66,GLOSBE_REVIEWED_ZHO_3caf21705010bd07,GLOSBE_ami_zho_TMEM_U000069
Amis_67,GLOSBE_REVIEWED_ZHO_647c908081b3877e,GLOSBE_ami_zho_TMEM_U000070
Amis_68,GLOSBE_REVIEWED_ZHO_473b666a57439f4d,GLOSBE_ami_zho_TMEM_U000071
Amis_69,GLOSBE_REVIEWED_ZHO_17424eee92de7c22,GLOSBE_ami_zho_TMEM_U000072
Amis_70,GLOSBE_REVIEWED_ZHO_f5883a7ae2dce0c6,GLOSBE_ami_zho_TMEM_U000073
Amis_71,GLOSBE_REVIEWED_ZHO_30815e19fa5bddd7,GLOSBE_ami_zho_TMEM_U000074
Amis_72,GLOSBE_REVIEWED_ZHO_0877a7e7d0374c28,GLOSBE_ami_zho_TMEM_U000075
Amis_73,GLOSBE_REVIEWED_ZHO_a39cd1d40c851a81,GLOSBE_ami_zho_TMEM_U000076
Amis_74,GLOSBE_REVIEWED_ZHO_a856da281dd6693e,GLOSBE_ami_zho_TMEM_U000077
Amis_75,GLOSBE_REVIEWED_ZHO_e3e8c62c04be93d0,GLOSBE_ami_zho_TMEM_U000078
Amis_76,GLOSBE_REVIEWED_ZHO_a928eb25f537ea60,GLOSBE_ami_zho_TMEM_U000079
Amis_77,GLOSBE_REVIEWED_ZHO_acfd93b1e857a0ee,GLOSBE_ami_zho_TMEM_U000080
Amis_78,GLOSBE_REVIEWED_ZHO_ec8cf8c2ccdb60c3,GLOSBE_ami_zho_TMEM_U000081
Amis_79,GLOSBE_REVIEWED_ZHO_9ddfcc23de240d59,GLOSBE_ami_zho_TMEM_U000082
Amis_80,GLOSBE_REVIEWED_ZHO_647de33b56ff6bc5,GLOSBE_ami_zho_TMEM_U000083
Amis_81,GLOSBE_REVIEWED_ZHO_6e14173bf08ab02b,GLOSBE_ami_zho_TMEM_U000084
Amis_82,GLOSBE_REVIEWED_ZHO_387f6b1429ff08cd,GLOSBE_ami_zho_TMEM_U000085
Amis_83,GLOSBE_REVIEWED_ZHO_fb7eef6fdd46258f,GLOSBE_ami_zho_TMEM_U000086
Amis_84,GLOSBE_REVIEWED_ZHO_f77bff994d0d9890,GLOSBE_ami_zho_TMEM_U000087
Amis_85,GLOSBE_REVIEWED_ZHO_32b340de4a8cbed2,GLOSBE_ami_zho_TMEM_U000088
Amis_86,GLOSBE_REVIEWED_ZHO_01673e264212d0ce,GLOSBE_ami_zho_TMEM_U000089
Amis_87,GLOSBE_REVIEWED_ZHO_ca5f3ce450784fd9,GLOSBE_ami_zho_TMEM_U000090
Amis_88,GLOSBE_REVIEWED_ZHO_184cb0f845b397cb,GLOSBE_ami_zho_TMEM_U000091
Amis_89,GLOSBE_REVIEWED_ZHO_4080c685af057c04,GLOSBE_ami_zho_TMEM_U000092
Amis_90,GLOSBE_REVIEWED_ZHO_c8bb3f8fe045c403,GLOSBE_ami_zho_TMEM_U000093
Amis_91,GLOSBE_REVIEWED_ZHO_69ea6284b753fe47,GLOSBE_ami_zho_TMEM_U000094
Amis_92,GLOSBE_REVIEWED_ZHO_5f5849a42e3b326c,GLOSBE_ami_zho_TMEM_U000095
Amis_93,GLOSBE_REVIEWED_ZHO_d365cdab99c2c4e0,GLOSBE_ami_zho_TMEM_U000096
Amis_94,GLOSBE_REVIEWED_ZHO_ae3f8a64d6be97a4,GLOSBE_ami_zho_TMEM_U000097
Amis_95,GLOSBE_REVIEWED_ZHO_a80ca4caab0544f8,GLOSBE_ami_zho_TMEM_U000098
Amis_96,GLOSBE_REVIEWED_ZHO_489d2e37f50e6fe4,GLOSBE_ami_zho_TMEM_U000099
Amis_97,GLOSBE_REVIEWED_ZHO_3091ed723ea6204c,GLOSBE_ami_zho_TMEM_U000100
Amis_98,GLOSBE_REVIEWED_ZHO_b32f67b787ee0d46,GLOSBE_ami_zho_TMEM_U000101
Amis_99,GLOSBE_REVIEWED_ZHO_6700effd5780ac08,GLOSBE_ami_zho_TMEM_U000102
Amis_100,GLOSBE_REVIEWED_ZHO_af500cfa05b02f29,GLOSBE_ami_zho_TMEM_U000103
Amis_101,GLOSBE_REVIEWED_ZHO_4d6c618ba8800889,GLOSBE_ami_zho_TMEM_U000104
Amis_102,GLOSBE_REVIEWED_ZHO_4f5deb2718844511,GLOSBE_ami_zho_TMEM_U000105
Amis_103,GLOSBE_REVIEWED_ZHO_db9e51a61157de58,GLOSBE_ami_zho_TMEM_U000106
Amis_104,GLOSBE_REVIEWED_ZHO_f3e3e8bed175dc0f,GLOSBE_ami_zho_TMEM_U000107
Amis_105,GLOSBE_REVIEWED_ZHO_304ce8f60e6a9318,GLOSBE_ami_zho_TMEM_U000108
