sentence_id	source_translation_suffix	note_attribute	decision
076S38	 (Moral: We mustn’t be greedy or steal.)	Moral: We mustn’t be greedy or steal.	Move the labeled moral from translation prose into the TRANSL notes attribute.
077S3	 (Note: Swinging of the bride is part of the wedding ceremony.)	Note: Swinging of the bride is part of the wedding ceremony.	Move the labeled editorial note from translation prose into the TRANSL notes attribute.
065S16	 [tjanu: no meaning ‘fill’ in F, but there is tjaɫu- ‘until, as far as’]	tjanu: no meaning ‘fill’ in F, but there is tjaɫu- ‘until, as far as’	Move the bracketed editorial note from translation prose into the TRANSL notes attribute.
