sentence_id	source_ordinal	word_index	included_token	omitted_sentence_id	rationale
011S75	75	3	aken	011S75-omit	The source prints (aken); both complete readings share the source translation.
040S42	42	1	nu	040S42-omit	The source prints (nu); both complete readings share the source translation.
041S10	10	12	tua	041S10-omit	The source prints (tua); both complete readings share the source translation.
050S55	55	3	ti	050S55-omit	The source prints (ti); both complete readings share the source translation.
068S9	9	3	i	068S9-omit	The source prints (i); both complete readings share the source translation.
