letter	IPA
uy	ui̯
q	ʡ
c	ts
y	j
z	dz
ŋ	ŋ
ə	ə
á	á
é	é
í	í
ó	ó
ú	ú
ç	ç
a	a
b	b
d	d
e	e
g	g
h	h
i	i
k	k
l	l
m	m
n	n
o	o
p	p
r	r
s	s
t	t
u	u
w	w
x	x
