source_record_id,first_line,line_count,source_lines_sha256,sentence_id,example_label,subexample_letter,translation_parenthetical_role
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0244,4,3,c857658f2df26046798bbc504b49d8df7ebff56fdeb538a7f8f9a26a350a6942,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E036B_P095,(36) b.,b,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0067,1,2,c99c7c08430b964975b64cd63ee5afa0ec1367b0391322c9f274aae65725f745,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E019A_P037,(19) a.,a,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0068,1,3,75882c14805193b76b005bd9438e1203d89914b65fc7d9847b7368c90f705e63,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E019B_P037,(19) b.,b,literal
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0069,1,2,6d3597c7fa485102edef2ca1cfc41e6db99a91da44636c8327e797dded9daea7,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E020A_P038,(20) a.,a,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0070,1,3,329d97dd3045d0b0c2c3d381db06dc1dbe1ceb34eb847cb0750111203e806ddf,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E020B_P038,(20) b.,b,literal
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0185,1,2,c56e33e69c554ba418f290ea9c610138788e83b8a0604f55bdb8b562c11e3aa9,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E011B_P079,(11) b.,b,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0290,1,3,c426aa4540087630f6e7ce96a8dc6ff4169f5f9124121c7446ad549c08bd185d,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C04_E005B_P127,(5) b.,b,
