letter	IPA
T	ʈ
D	ɖ
ꟈ	ð
L	ɭ
c	ts
y	j
ŋ	ŋ
ə	ə
ɨ	ɨ
ʔ	ʔ
θ	θ
á	á
é	é
í	í
ó	ó
ú	ú
a	a
b	b
d	d
e	e
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
r	r
s	s
t	t
u	u
v	v
w	w
