letter	IPA
ng	ŋ
p	p
t	t
k	k
'	ʡ
^	ʔ
c	ʦ
f	f
b	NA
v	NA
d	[ɬ|ɮ]
s	s
x	x
h	ħ
m	m
n	n
r	r
l	ɾ
w	w
y	j
i	i
e	ə
a	a
u	NA
o	[o|u]
:	:
g	ŋ
