output_path	video_id	source_path	source_sha256	source_bytes	audio_only_file	output_kind
XML/Atayal/20180804_Yutas_Wilang_MVI_1115_mengzhan_2fen14miao.xml	zdsesjCgRA8	raw_scrape/20180804_Yutas_Wilang_MVI_1115_夢占_2分14秒_zdsesjCgRA8.txt	4986814595e88425d1cefa5a6da0f113d0cb8bbaf7c5725e2ff18cdab699accd	3295		transcript
XML/Atayal/20180804_Yutas_Wilang_MVI_1115_mengzhan_2fen14miao_untranscribed.xml	zdsesjCgRA8				20180804_Yutas_Wilang_MVI_1115_mengzhan_2fen14miao_untranscribed.wav	audio_only
XML/Atayal/20180804_Yutas_Wilang_MVI_1116_zuyuzimuwancheng_tiqindegaga.xml	sKo8jLYaHhU	raw_scrape/20180804_Yutas_Wilang_MVI_1116_族語字幕完成_提親的gaga_sKo8jLYaHhU.txt	ccf0f1ae0eb7e2a419eb496952c7827181b24d1aa15a214ea21621b7ef899d7c	1449		transcript
XML/Atayal/20181228_yutasWilang_01_kinhulan_zuyuzimuwancheng.xml	SPmGl-aV3Q8	raw_scrape/20181228_yutasWilang_01_kinhulan_族語字幕完成_SPmGl-aV3Q8.txt	a55c2de55ff5256f3be70726a4cd4b8fe4e18c32ca9100312026d8742a42bab7	25634		transcript
XML/Atayal/20181228_yutasWilang_01_kinhulan_zuyuzimuwancheng_untranscribed.xml	SPmGl-aV3Q8				20181228_yutasWilang_01_kinhulan_zuyuzimuwancheng_untranscribed.wav	audio_only
XML/Atayal/20181228_yutasWilang_02_laqiCipuq.xml	NiScvxghI2o	raw_scrape/20181228_yutasWilang_02_laqiCipuq_NiScvxghI2o.txt	6886c18e39a765ab21407fb10c98b70be33c37e215092c01d7e698ad9da51477	9598		transcript
XML/Atayal/20181228_yutasWilang_02_laqiCipuq_untranscribed.xml	NiScvxghI2o				20181228_yutasWilang_02_laqiCipuq_untranscribed.wav	audio_only
XML/Atayal/20181228_yutasWilang_03tanlunyouguanluanlun.xml	qHqooll4gHk	raw_scrape/20181228_yutasWilang_03談論有關亂倫_qHqooll4gHk.txt	e81786c151646ca58eaa16f00ec8e25ec201f15e32205341133a18a733bbf73e	2467		transcript
XML/Atayal/20181228_yutasWilang_03tanlunyouguanluanlun_untranscribed.xml	qHqooll4gHk				20181228_yutasWilang_03tanlunyouguanluanlun_untranscribed.wav	audio_only
XML/Atayal/20190130_YutasWilang_dierduan_19fen7miao.xml	R90kNdpb7eI	raw_scrape/20190130_YutasWilang_第二段_19分7秒_R90kNdpb7eI.txt	0188792751647dee830e95a30aa06472803b484d843a2e1d2bdc90b7907c9ec3	18530		transcript
