letter	IPA
ng	ŋ
?	ʔ
'	ʔ
h	ħ
r	ɾ
e	ə
y	j
ə	ə
a	a
b	b
d	d
g	g
i	i
k	k
l	l
m	m
n	n
p	p
s	s
t	t
u	u
w	w
x	x
z	z
