ePark topic,audio path,lang,dialect,idx,id
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V13.mp3,Kavalan,Kavalan,34,24W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V14.mp3,Kavalan,Kavalan,34,24W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V15.mp3,Kavalan,Kavalan,34,24W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V16.mp3,Kavalan,Kavalan,34,24W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V17.mp3,Kavalan,Kavalan,34,24W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V18.mp3,Kavalan,Kavalan,34,24W_18
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V19.mp3,Kavalan,Kavalan,34,24W_19
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_24_V20.mp3,Kavalan,Kavalan,34,24W_20
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V1.mp3,Kavalan,Kavalan,34,25W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V2.mp3,Kavalan,Kavalan,34,25W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V3.mp3,Kavalan,Kavalan,34,25W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V4.mp3,Kavalan,Kavalan,34,25W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V5.mp3,Kavalan,Kavalan,34,25W_5
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V6.mp3,Kavalan,Kavalan,34,25W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V7.mp3,Kavalan,Kavalan,34,25W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V8.mp3,Kavalan,Kavalan,34,25W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V9.mp3,Kavalan,Kavalan,34,25W_9
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V10.mp3,Kavalan,Kavalan,34,25W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V11.mp3,Kavalan,Kavalan,34,25W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V12.mp3,Kavalan,Kavalan,34,25W_12
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V13.mp3,Kavalan,Kavalan,34,25W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_25_V14.mp3,Kavalan,Kavalan,34,25W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V1.mp3,Kavalan,Kavalan,34,26W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V2.mp3,Kavalan,Kavalan,34,26W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V3.mp3,Kavalan,Kavalan,34,26W_3
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V4.mp3,Kavalan,Kavalan,34,26W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V5.mp3,Kavalan,Kavalan,34,26W_5
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V6.mp3,Kavalan,Kavalan,34,26W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V7.mp3,Kavalan,Kavalan,34,26W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V8.mp3,Kavalan,Kavalan,34,26W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_26_V9.mp3,Kavalan,Kavalan,34,26W_9
