letter	IPA
ng	ŋ
d	ɖ
s	ʂ
'	ʔ
h	ʁ
c	tʃ
j	dʒ
z	ř
y	j
e	ə
á	á
í	í
ó	ó
ú	ú
p	p
b	b
t	t
k	k
g	g
q	q
v	v
f	f
m	m
n	n
r	r
l	l
w	w
i	i
a	a
o	o
u	u
