letter	Truku	default
ŋ	ŋ	ŋ
ey	e	e
p	p	p
b	b	b
t	t	t
d	d	d
k	k	k
g	ɣ	g
q	q	q
c	ʦ	ʦ
j	ɟ	ɟ
s	s	s
x	x	x
h	ħ	ħ
m	m	m
n	n	n
r	ɾ	ɾ
l	ɮ	l
w	w	w
y	j	j
i	i	i
e	ə	ə
a	a	a
u	u	u
o	o	o
