letter	Coastal
ng	ŋ
p	p
t	t
k	k
'	ʔ
q	ʡ
^	ʔ
c	ʦ
f	f
d	ɬ
s	s
z	NA
x	x
h	ħ
m	m
n	n
r	r
l	ɾ
w	w
y	j
i	i
e	ə
a	a
u	u
o	o
