language,dialect,segmented_words,glossed_words,transcribed_audio_count,transcribed_audio_seconds,untranscribed_audio_count,untranscribed_audio_seconds,eng_transl_count,zho_transl_count,word_count,file_count,sentences,word_elements,morpheme_elements,translation_elements,audio_elements,parse_errors,jpn_transl_count
dru,Dona,29,29,0,0.0,0,0.0,55,0,55,1,15,55,39,106,0,0,0
dru,Maolin,23,23,0,0.0,0,0.0,48,0,48,1,14,48,31,89,0,0,0
