language,dialect,segmented_words,glossed_words,transcribed_audio_count,transcribed_audio_seconds,untranscribed_audio_count,untranscribed_audio_seconds,eng_transl_count,zho_transl_count,word_count,file_count,sentences,word_elements,morpheme_elements,translation_elements,audio_elements,parse_errors
pwn,Central,3719,3719,0,0.0,0,0.0,3719,0,3719,17,538,3719,5450,9707,0,0
pwn,Eastern,1198,1198,0,0.0,0,0.0,1198,0,1198,6,157,1198,1788,3143,0,0
pwn,Northern,9021,9021,0,0.0,0,0.0,9021,0,9021,32,996,9021,13977,23993,0,0
pwn,Southern,9496,9496,0,0.0,0,0.0,9496,0,9496,41,1158,9496,14012,24666,0,0
pwn,unknown,1122,1122,0,0.0,0,0.0,1122,0,1122,4,72,1122,1711,2905,0,0
