language,dialect,segmented_words,glossed_words,transcribed_audio_count,transcribed_audio_seconds,untranscribed_audio_count,untranscribed_audio_seconds,eng_transl_count,zho_transl_count,word_count,file_count,sentences,word_elements,morpheme_elements,translation_elements,audio_elements,parse_errors,jpn_transl_count,nld_transl_count
bzg,Favorlang,0,0,0,0.0,0,0.0,31,0,31,1,29,0,0,29,0,0,0,0
fos,Siraya,0,0,0,0.0,0,0.0,16,0,16,1,16,0,0,16,0,0,0,0
