language,dialect,segmented_words,glossed_words,transcribed_audio_count,transcribed_audio_seconds,untranscribed_audio_count,untranscribed_audio_seconds,eng_transl_count,zho_transl_count,word_count,file_count
pwn,Central,0,0,237,0.0,4,0.0,0,0,3635,16
pwn,Eastern,0,0,1132,0.0,23,0.0,0,0,20522,98
pwn,Northern,0,0,1412,0.0,23,0.0,0,0,27742,115
pwn,Southern,0,0,331,0.0,8,0.0,0,0,5554,31
