letter	IPA
ng	ŋ
si	ɕi
p	p
b	b
t	t
d	ɖ
k	k
g	g
'	ʔ
v	f
c	ʨ
j	ʥ
s	ʂ
z	r
h	ɰ
m	m
n	n
r	ɻ
l	l
w	w
y	j
i	i
e	ə
a	a
o	o~u
