letter	Nanwang	Zhiben	Xiqun	Jianhe
ng	ŋ	ŋ	ŋ	ŋ
l	ɮ	ɮ	ɮ	ɮ
T	ʈ	ʈ	ʈ	ʈ
D	ɖ	NA	NA	NA
Z	ɖ	NA	NA	NA
ll	l	NA	NA	NA
p	p	p	p	p
b	b	NA	NA	NA
t	t	t	t	t
d	d	d	d	d
k	k	k	k	k
g	g	NA	NA	NA
'	NA	ʔ	ʔ	ʔ
R	NA	R	R	R
c	NA	ʦ	NA	ʦ
v	b	v	v	v
s	s	s	s	s
z	d	ð	ð	NA
h	NA	h	h	h
m	m	m	m	m
n	n	n	n	n
r	r	r	r	r
L	ɭ	ɭ	ɭ	l
w	w	w	w	w
y	y	y	y	y
i	i	i	i	i
a	a	a	a	a
u	u	u	u	u
e	ə	ə	ə	ə
