letter	IPA
D	ɖ
tj	c
dj	ɉ
lj	ʎ
ng	ŋ
p	p
b	b
t	t
d	d
k	k
g	g
q	q
'	ʔ
c	ʦ
v	v
s	s
z	z
h	h
m	m
n	n
r	r
L	ɭ
w	w
y	j
i	i
u	u
e	ə
a	a
