letter	IPA
ng	ŋ
p	p
b	ɓ
t	t
l	d
k	k
'	ʔ
c	ʦ
f	f
v	v
s	s
z	z
h	x
m	m
n	n
y	j
r	r
w	w
i	i
e	e
a	a
u	u
ʉ	ɯ
o	o
