letter	IPA
ng	ŋ
p	p
b	b
t	t
d	d
k	k
ch	ʨ
v	v
s	s
z	ð
h	h
m	m	
n	n
l	l
w	w
j	y
i	i
a	a
u	u
e	e
o	o					
