letter	IPA
ng	ŋ
p	p
t	t
k	k
q	ʡ
'	ʔ
c	ʦ
f	f
b	b
v	v
d	ɬ
s	s
x	x
h	ħ
m	m
n	n
r	r
l	ɾ
w	w
y	j
i	i
e	ə
a	a
u	u	
o	o
