letter	Sekolik	FourSeasons	Zeaol	Wenshui	Wanda		YilanZeaol
ng	ŋ	ŋ	ŋ	ŋ	ŋ	NA	
n_g	nɣ	nɣ	nɣ	nɣ	nɣ	NA	
p	p	p	p	p	p	p
t	t	t	t	t	t	t
k	k	k	k	k	k	k
q	q	q	NA	q	q	NA
'	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ
c	ʦ~ʨ	ʦ~ʨ	ʦ~ʨ	ʦ~ʨ	ʦ~ʨ	ʦ~ʨ
b	β	β	β	β	β	β
s	s~ɕ	s~ɕ	s~ɕ	s~ɕ	s~ɕ	s~ɕ
z	z	NA	z	NA	NA	NA
x	x	x	x	x	x	x
g	ɣ	ɣ	ɣ	ɣ	ɣ	ɣ
h	ħ	ħ	ħ	ħ	ħ	ħ
m	m	m	m	m	m	m
n	n	n	n	n	n	n
r	r	r	r	r	r	r
ṟ	NA	NA	NA	NA	ɾ	NA
l	l	l	l	l	l	l
w	w	w	w	w	w	w
y	j	j	j	j	j	j
i	i	i	i	i	i	i
e	e	e	e	e	e	e
a	a	a	a	a	a	a
u	u	u	u	u	u	u
o	o	o	o	o	o	o
_	ə	ə	ə	ə	ə	ə
