letter	Southern	Xiuguluan	Coastal	Malan	Hengchun	default
ng	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ
p	p	p	p	p	p	p
t	t	t	t	t	t	t
k	k	k	k	k	k	k
'	ʡ	ʡ	ʡ	ʡ	ʡ	ʡ
^	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ
c	ʦ	ʦ	ʦ	ʦ	ʦ	ʦ
f	NA	f	f	f	f	f
b	[b|v]	NA	NA	NA	NA	[b|v]
v	[b|v]	NA	NA	NA	NA	[b|v]
d	d	[ɬ|ɮ]	[ɬ|ɮ]	ɬ	[ɬ|ɮ]	[ɬ|ɮ]
s	s	s	s	s	s	s
x	x	x	x	x	x	x
h	ħ	ħ	ħ	ħ	ħ	ħ
m	m	m	m	m	m	m
n	n	n	n	n	n	n
r	r	r	r	r	r	r
l	ɾ	ɾ	ɾ	ɾ	ɾ	ɾ
w	w	w	w	w	w	w
y	j	j	j	j	j	j
i	i	i	i	i	i	i
e	ə	ə	ə	ə	ə	ə
a	a	a	a	a	a	a	
u	[o|u]	NA	NA	NA	NA	[o|u]	 
o	NA	[o|u]	[o|u]	[o|u]	[o|u]	[o|u]
:	:	:	:	:	:	:
