letter	IPA
ey	e
ng	ŋ
p	p
t	t
k	k
'	[ʔ|ʡ]
c	ʦ
b	b
d	d
s	s
z	z
h	ħ
m	m
n	n
l	[r|ɾ]
w	w
y	j
i	i
e	ə
a	a
u	u
o	o
g	g
f	f
