letter	Nanwang	Zhiben	Xiqun	Jianhe	default
ng	ŋ	ŋ	ŋ	ŋ	ŋ
lr	NA	ɮ	ɮ	ɮ	ɮ
tr	ʈ	ʈ	ʈ	ʈ	ʈ
dr	ɖ	NA	NA	NA	ɖ
ll	l	NA	NA	NA	l
p	p	p	p	p	p
b	b	NA	NA	NA	b
t	t	t	t	t	t
d	ð	ð	ð	ð	ð
k	k	k	k	k	k
g	g	NA	NA	NA	g
'	ʔ	ʔ~ɦ	ʔ~ɦ	ʔ~ɦ	ʔ
c	NA	NA	NA	ʦ	ʦ
v	NA	v	v	v	v
s	s	s	s	s	s
z	NA	z	z	NA	z
h	NA	h	h	h	h
m	m	m	m	m	m
n	n	n	n	n	n
r	r	r	r	r	r
l	ɭ	ɭ	ɭ	l	l
w	w	w	w	w	w
y	j	j	j	j	j
i	i	i	i	i	i
a	a	a	a	a	a
u	u	u	u	u	u
e	ə	ə	ə	ə	ə
