letter	IPA
ii	i:
aa	a:
uu	u:
ʉʉ	ɨ:
ng	ŋ
hl	ɬ
p	p
t	t
k	k
'	ʔ
c	ʦ
v	v
s	s
m	m
n	n
r	r
l	ɾ
i	i
ʉ	ɨ
a	a
u	u
h	h
e	e
