letter	IPA
ng	ŋ
p	p
b	ɓ
t	t
l	ɗ
k	k
'	ʔ
c	ʦ
f	f
v	v
s	s
z	z
h	h
m	m
n	n
r	ɽ
y	j
i	i
e	e
a	a
u	u
ʉ	ɨ
o	o
