letter	IPA
ng	ŋ
p	p
t	t
k	k
'	ʔ
c	ʦ
v	v
s	s
m	m
n	n
r	[r|ɾ]
i	i
ʉ	ɨ
e	e
a	a
u	u
o	o
f	f
h	h
y	j
w	w
