letter	Zhuoqun	Kaqun	Tanqun	Luanqun	Junqun	default
ng	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ
ci	ʨi	ʨi	NA	NA	ʨi	ʨi
ca	ʦa	ʦa	NA	NA	NA	ʦa
cu	ʦu	ʦu	NA	NA	NA	ʦu
si	ɕi	ɕi	ɕi	ɕi	ɕi	ɕi
p	p	p	p	p	p	p
b	b	b	b	b	b	b
t	t	t	t	t	t	t
d	d	d	d	d	d	d
k	k	k	k	k	k	k
q	q	q	q	q	NA	q
'	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ
c	ʦ~ʨ	ʦ~ʨ	ʨ	ʨ	ʨ	ʨ
v	v	v	v	v	v	v
s	s	s	s	s	s	s
z	ð	ð	ð	ð	ð	ð
h	h	h	h	h	x~χ	h
m	m	m	m	m	m	m	
n	n	n	n	n	n	n
l	l	l	l	l	l~ɬ	l
i	i	i	i	i	i	i
a	a	a	a	a	a	a
u	u	u	u	u	u	u
e	e	e	NA	e	NA	e
o	o	o	NA	o	NA	o
-					
