letter	IPA
ng	ŋ
ci	ci
cy	cj
p	p
b	b
t	t
d	d
k	k
g	ɣ
q	q
c	ʦ
j	ɟ
s	s
x	x
h	ħ
m	m
n	n
r	ɾ
l	ɮ
w	w
y	j
i	i
e	ə	
a	a
u	u
o	o
