letter	IPA
th	θ
sh	ʃ
ng	ŋ
lh	ɬ
l.h	lh
t.h	th
wi	βi
wa	βa
wu	βu
p	p
b	b
t	t
d	d
k	k
q	q
'	ʔ
f	ɸ
z	ð
s	s
h	h
m	m
n	n
r	r
l	l
w	w
y	j
i	i
a	a
u	u
-	
