parent_example_record_id,page,label,kept_form_Q,kept_translation,dropped_form_A_raw,dropped_translation_A,notes
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0019,29,(7) d.,Q: N-nima ka patas nii?,這本書是誰的？,A: N-naku. / * mu.,是我的。,drop any '* ...' ungrammatical alternative when recovering
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0243,95,(36) a.,Gaga t-m-xiluy ka Tusi.,Tusi 正在打鐵。,Tama Lowking ka emp-txiluy nii.,,drop any '* ...' ungrammatical alternative when recovering
