example_record_id,source_form,source_translation,overlap_status,matched_file,matched_sentence_id,similarity,action,notes
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0111,ska hidaw,中午。,exact_form_match,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/.claude/worktrees/epark-qc-fixes/Corpora/ePark/XML/sheng_huo_hui_hua_pian_daily_conversation/Truku/Truku.xml,554,100,review_before_import,Exact FORM match in existing FormosanBank-adjacent XML.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0113,bukung ptas-an,校長,near_form_match,/Users/jkhartshorne/Documents/Projects/Formosan/Formosan-ePark/Final_XML/xue_xi_ci_biao_learning_vocabulary/Truku/Truku.xml,122,96.2962962962963,review_before_import,Near FORM match in existing FormosanBank-adjacent XML.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0120,bgihur paru,颱風,exact_form_match,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/.claude/worktrees/epark-qc-fixes/Corpora/NTUFormosanCorpus/XML/Grammar/Seediq/Seediq.xml,A2_S_36,100,review_before_import,Exact FORM match in existing FormosanBank-adjacent XML.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0134,tdruy bahu,公車、箱型車,exact_form_match,/Users/jkhartshorne/Documents/Projects/Formosan/FormosanBank/.claude/worktrees/epark-qc-fixes/Corpora/ePark/XML/xue_xi_ci_biao_learning_vocabulary/Truku/Truku.xml,567,100,review_before_import,Exact FORM match in existing FormosanBank-adjacent XML.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0283,Nnima ka srus nii?,這個橡皮擦是誰的？,near_form_match,/Users/jkhartshorne/Documents/Projects/Formosan/Formosan-ePark/Final_XML/qing_jing_zu_yu_contextual_indigenous_language/Truku/Truku.xml,412,97.2972972972973,review_before_import,Near FORM match in existing FormosanBank-adjacent XML.
