example_type,record_count
xml_eligible,259
rejected,74
with_gloss,283
xml_with_w_m,253
xml_with_morpheme_level_glosses,221
xml_with_word_level_glosses,0
xml_words_only_no_reliable_gloss_alignment,32
table_sidecar_rows,539
