form	label	definition	cross_reference	headword	homograph	format	root_marker	etymology	sense	inferred	entry_page	sense_page
a		future marker		a	1	A					280	280
a		(PAN *a `linking particle, lig-		a		A					280	280
a		ature') linking particle, ligature, mark of lexical, phrasal, or clausal attribution or modification		a		A			2		280	280
Abish		male name (husband of Kaluzut)		Abish		A					280	280
Abus		female name (wife of Atun)		Abus		A					280	280
acan		kind, type, variety		acan		A					280	280
mia–aca–acan	[IT]	have everything, be replete		acan		A			2		280	280
an–m–aca–acay	[IT]	be dying, be on the verge of death		acay		B	bars	(PAN *aCay `die; death')	2		280	280
k–acay		a curse expressing anger toward someone: drop dead!, go to Hell!		acay		B	bars	(PAN *aCay `die; death')	3		280	280
k–acay–an		lose someone through death, be bereaved		acay		B	bars	(PAN *aCay `die; death')	4		280	280
ka–ma–p–acay		kill		acay		B	bars	(PAN *aCay `die; death')	5		280	280
ka–ma–p–acay–ak	[LF1s]	I killed		acay		B	bars	(PAN *aCay `die; death')	6		280	280
ka–ma–p–acay–an		be killed		acay		B	bars	(PAN *aCay `die; death')	7		280	281
ka–p–acay–an		lose someone through death; be bereaved		acay		B	bars	(PAN *aCay `die; death')	8		280	281
ka–p–acay–an a ayuzi/ka–p–acay–an a binanau'az		widow/ widower		acay		B	bars	(PAN *aCay `die; death')	9		280	281
k–in–a–p–acay–an	[c]	was bereaved		acay		B	bars	(PAN *aCay `die; death')	10		280	281
k–in–a–p–acay–an a ayuzi, k–in–a–p–acay–an a binanau'az		widow/widower		acay		B	bars	(PAN *aCay `die; death')	10a		280	281
kum–p–acay	[AB]	die suddenly		acay		B	bars	(PAN *aCay `die; death')	11		280	281
m–aca–acay		die (in		acay		B	bars	(PAN *aCay `die; death')			280	281
acay	[S/IT]	large numbers), will die (in large numbers)		acay		B	bars	(PAN *aCay `die; death')	12		280	281
m–acay	[S]	die, be dead		acay		B	bars	(PAN *aCay `die; death')	13		280	281
m–acay a caw		dead person, corpse		acay		B	bars	(PAN *aCay `die; death')	13a		280	281
maka–p–acay		fight, quarrel		acay		B	bars	(PAN *aCay `die; death')	14		280	281
makit–p–acay		die gradually, one after the other, as in an epidemic		acay		B	bars	(PAN *aCay `die; death')	15		280	281
ma–p–acay	[R]	fight with each other		acay		B	bars	(PAN *aCay `die; death')	16		280	281
matim–p–acay		die, die off		acay		B	bars	(PAN *aCay `die; death')	17		280	281
m–in–acay	[c]	grave, burial place		acay		B	bars	(PAN *aCay `die; death')	18		280	281
m–in–acay a buqan		cemetery (modern; lit. `burial meadow')		acay		B	bars	(PAN *aCay `die; death')	18a		280	281
m–in–aka–p–acay	[c]	fought, got into a fight		acay		B	bars	(PAN *aCay `die; death')	19		280	281
m–in–a–p–acay	[c]	fought, got into a fight		acay		B	bars	(PAN *aCay `die; death')	20		280	282
p–aca–p–acay	[C/IT]	fight with others		acay		B	bars	(PAN *aCay `die; death')	21		280	282
(kay) p–acay	[C]	beat, kill		acay		B	bars	(PAN *aCay `die; death')	22		280	282
(kay) p–acay–an	[C/LF]	be beaten, be killed		acay		B	bars	(PAN *aCay `die; death')	23		280	282
p–acay–i	[C/I]	(don't) kill it		acay		B	bars	(PAN *aCay `die; death')	24		280	282
(kay) p–acay–ik	[PF1s]	I killed		acay		B	bars	(PAN *aCay `die; death')	25		280	282
(kay) p–acay–in	[C/PF]	be beaten, be killed		acay		B	bars	(PAN *aCay `die; death')	26		280	282
pam–p–acay		fall to one's death		acay		B	bars	(PAN *aCay `die; death')	27		280	282
pa–p–acay	[C/C]	fight		acay		B	bars	(PAN *aCay `die; death')	28		280	282
p–in–acay	[Cc]	was beaten		acay		B	bars	(PAN *aCay `die; death')	29		280	282
sham–p–acay		drop dead, as a person who collapses suddenly with no prior sign of illness; die, as a car engine		acay		B	bars	(PAN *aCay `die; death')	30		280	283
sham–p–acay–in	[PF]	be killed		acay		B	bars	(PAN *aCay `die; death')	31		280	283
afu		cooked rice; meal		afu		A					283	283
afu a shashanu		morning meal, breakfast		afu		A			1a		283	283
afu a saqazi		midday meal, lunch		afu		A			1b		283	283
afu a tan–lhuan		evening meal, dinner		afu		A			1c		283	283
pash–afu–an		rice container, container for cooked rice		afu		A			2		283	283
pin–afu–an		be eaten with rice; side dish with rice		afu		A			3		283	283
aqtalha a pin–afu–an		preserved pork, salted pork		afu		A			3a		283	283
rusaw a pin–afu–an		preserved fish, salted fish		afu		A			3b		283	283
ag–ka–kakalay	[I/IT]	(don't) shiver	kakalay:2	ag–ka–kakalay		A					283	283
ag–kalada	[I]	(don't) lift your leg	kalada:2	ag–kalada		A					283	283
agqaqili		(don't) carry it on the hip or under the arm		agqaqili		A					283	283
in–agqaqili	[PFc]	was carried on the hip or under the arm		agqaqili		A			2		283	283
m–agqaqili	[AF]	carry on the hip or under the arm		agqaqili		A			3		283	283
m–in–agqaqili	[AFc]	carried on the hip or under the arm		agqaqili		A			4		283	283
p–agqaqili	[I]	put it on your hip (to carry)		agqaqili		A			5		283	283
agqaruz		flow, current		agqaruz		A					283	283
agqaruz–in	[PF]	be carried off by a current		agqaruz		A			2		283	283
in–agqaruz	[PFc]	was carried off by a current; what was carried off by a current		agqaruz		A			3		283	284
in–agqaruz a kawi		driftwood		agqaruz		A			3a		283	284
m–agqaruz	[AF]	to flow		agqaruz		A			4		283	284
m–in–agqaruz	[AFc]	flowed		agqaruz		A			5		283	284
p–agqaruz	[C]	be carried away on a current; send something away on a current, let something go on a current		agqaruz		A			6		283	284
p–agqaruz–i	[C/I]	rinse it, let water flow over it		agqaruz		A			7		283	284
p–in–agqaruz	[Cc]	was carried away on a current		agqaruz		A			8		283	284
agqiqi		carry with one hand		agqiqi		A					284	284
in–agqiqi	[PFc]	was carried with one hand		agqiqi		A			2		284	284
m–agqiqi	[AF]	carry (with one hand); walk inclined to one side, so as to counterbalance the weight of something heavy carried on the other side		agqiqi		A			3		284	284
m–in–agqiqi	[AFc]	was carried with one hand		agqiqi		A			4		284	284
agqtu		contemplate, think about		agqtu		A					284	284
agqtu–i	[I]	think about it, try to recall it		agqtu		A			2		284	284
agqtu–n	[PF]	be thought of, be recalled		agqtu		A			3		284	284
agqtu–qtu	[IT]	think about		agqtu		A			4		284	285
agqtu–qtu–n	[IT/PF]	be thought about, be contemplated		agqtu		A			5		284	285
in–agqtu–n	[PFc]	was thought about, was recollected		agqtu		A			6		284	285
m–agqtu	[AF]	contemplate, think about		agqtu		A			7		284	285
m–agqtu–an	[LF]	think on, think of, think about		agqtu		A			8		284	285
m–agqtu–qtu	[AF/IT]	think over, mull over, think about something, keep in one's thoughts, desire something intensely so that it is always in one's thoughts		agqtu		A			9		284	285
m–in–agqtu	[AFc]	thought about		agqtu		A			10		284	285
p–agqtu	[C]	remind someone of something, jog someone's memory		agqtu		A			11		284	285
p–agqtu–k	[C/PF1s]	I remember, I am thinking of it		agqtu		A			12		284	286
p–agqtu–n	[C/PF]	he/she remembers		agqtu		A			13		284	286
p–agqtu–qtu	[C]	think about, recall; remind someone to do something		agqtu		A			14		284	286
p–agqtu–qtu–an		think		agqtu		A					284	286
agqtu	[C/LF]	about, mull over		agqtu		A			15		284	286
p–in–agqtu	[Cc]	have thought about, planned		agqtu		A			16		284	286
agqulha		a tiny plant with deep mauve leaves used to treat sunstroke and severe internal bodily injury. A mixture of the pounded leaves and salt is also heated and given to newborn babies to fortify them against illness. The name is from its color (ag–qulha `red')		agqulha		A					286	286
ag–qulha		red	qulha:2	ag–qulha		A					286	286
Ahiami		female name (informally: Hiami)		Ahiami		A					286	286
Ahuni		female name (wife of Taniwu)		Ahuni		A					286	286
tana–ailhi		left side		ailhi		B	bars	(PAN *wiRi `left side')	2		286	286
maka–tana–ailhi		further to the left		ailhi		B	bars	(PAN *wiRi `left side')	3		286	286
tau–na–ailhi		turn to the left		ailhi		B	bars	(PAN *wiRi `left side')	4		286	286
tish–ainuz		become numb, as from exposure to cold		ainuz	1	B	bars		2		286	286
ainuz		trivet, three stones that 2 form a traditional hearth		ainuz		A					286	286
ma–tish–ainuz	[F]	will build a hearth, will start a cooking fire		ainuz		A			2		286	287
mu–ainuz	[AF]	start a cooking fire		ainuz		A			3		286	287
pu–ainuz		make a fire to cook		ainuz		A			4		286	287
tish–ainuz	[I]	(don't) start a fire		ainuz		A			5		286	287
t–m–ish–ainuz	[AF]	set up a hearth for cooking		ainuz		A			6		286	287
a–iup	[IN]	a tube made of bamboo or iron used to blow on the fire to fan the flames	iup:2	a–iup		A					287	287
aki		god, deity		aki		A		(PAN *aki `grandfather; ancestor')			287	287
k–m–ay aki–an	[LF]	(of a man) be struck in the genital area, suffer a blow to the `family jewels'		aki		A		(PAN *aki `grandfather; ancestor')	2		287	287
pash–aki–an		household altar, table with incense bowl and offerings		aki		A		(PAN *aki `grandfather; ancestor')	3		287	287
Akiko		male name (husband of Pima)		Akiko		A					287	287
ak–saqazi–n		lunch, noon meal	saqazi:2	ak–saqazi–n		A					287	287
ak–shashanu–n		breakfast, morning meal	shashanu:2	ak–shashanu–n		A					287	287
ak–tan–lhuan–in		evening meal, dinner	lhuan:2	ak–tan–lhuan–in		A					287	287
ia–alah'a	[I]	(don't) be hospitable		alah'a		B	bars		2		287	287
ma–alah'a	[S]	congenial; generous, hospitable, friendly		alah'a		B	bars		3		287	288
pia–alah'a	[C]	put on a congenial face, act hospitable, try to be hospitable		alah'a		B	bars		4		287	288
Alan		male name		Alan		A					288	288
Ali		common female name (wife of Lakainu, wife of Pashulan, wife of Pila, wife of Qaba, wife of Shugqawi)		Ali		A					288	288
Alisán		Tsou (from Taiwanese `Mount Ali', located in Tsou territory)		Alisán		A					288	288
Alishay		collective term for sinicized aborigines; Plains tribes		Alishay		A					288	288
maka–alishay		resemble a sinicized aborigine		Alishay		A			2		288	288
aliwa–k	[PF1s]	I ask for something out of asserted need; I don't have enough (said in begging for something)		aliwa		B	bars		2		288	288
man–aliwa		protest that one does not have enough, object to the amount one receives		aliwa		B	bars		3		288	288
aliwa–k	[PF1s]	I ask for something out of asserted need; I don't have enough (said in begging for something)	aliwa:2	aliwa–k		A					288	288
alushun		spinning top		alushun		A					288	288
mu–alushun		spin a top, as in a game		alushun		A			2		288	288
alha		about, approximately (cf. /kaiza/)		alha		A					289	289
alhua		female companion of the lhizashan, Swinhoe's blue pheasant: Lophura swinhoii Gould, fam. Phasianidae, a brownish plain or somewhat speckled chicken-sized bird with short tail and blood-red feet that is most commonly seen foraging on the forest floor with its mate		alhua		A					289	289
am		rice gruel; water from cooked rice; slop, leftover food that is fed to the pigs		am		A					289	289
ama		father, Father (add.)		ama		A		(PAN *ama `father, father's brother, mother's sister's husband')			289	289
ti ama		Father (ref.)		ama		A		(PAN *ama `father, father's brother, mother's sister's husband')	1a		289	289
ama		+ PERSONAL NAME uncle, father's brother; term of reference or address for men of the father's generation		ama		A		(PAN *ama `father, father's brother, mother's sister's husband')	1b		289	289
ama–ina		father and mother, parents		ama		A		(PAN *ama `father, father's brother, mother's sister's husband')	2		289	289
maka–ama		resemble one's father		ama		A		(PAN *ama `father, father's brother, mother's sister's husband')	3		289	289
min–ama	[IC]	become a father		ama		A		(PAN *ama `father, father's brother, mother's sister's husband')	4		289	289
pan–amá–n		father's brother (elder or younger)		ama		A		(PAN *ama `father, father's brother, mother's sister's husband')	5		289	289
ama–ina		father and mother, parents	ama:2	ama–ina		A					289	289
amazaiza		regret something, be sorry about something, excuse oneself for something done		amazaiza		A					289	289
amiamin		a charm or talisman worn around the neck by the legendary female figure Makaw—it was used to help quarreling people get along		amiamin		A					290	290
aminina		portion of the rice wine that is saved to initiate fermentation of the next batch		aminina		A					290	290
am–punu–punuq–in	[PF]	be put on the head, as a garland	punuq:2	am–punu–punuq–in		A					290	290
am–punuq–an	[LF]	put on the head, place on the head, as flower garlands (traditionally worn at a wedding by relatives of the bride)	punuq:3	am–punuq–an		A					290	290
Amúy		female name (wife of Sage)		Amúy		A					290	290
mashi–amuzkuz		be hunched or bent over, as an aged person; be curled up on one's side in sleeping; lean against a wall, etc. resting head on hands		amuzkuz		B	bars		2		290	290
min–mashi–amuzkuz	[IC]	begin to get bent or hunched over		amuzkuz		B	bars		3		290	290
pik–amuzkuz–in	[C/PF]	be forced into a hunched-up position		amuzkuz		B	bars		4		290	290
ana–i	[I]	(don't) give it, (don't) get it		ana		B	bars		2		290	290
an–ana–i		[IT/I] (don't) give it/ get it		ana		B	bars		3		290	291
ana–faw		(don't) make it higher, (don't) raise it	faw:2	ana–faw		A					291	291
ana–i		[I] (don't) give it, (don't) get it	ana:2	ana–i		A					291	291
aq–anak–in		[PF] by oneself, by ourselves		anak		B	bars		2		291	291
in–an–anak		[I] do it on your own, do it to yourself		anak		B	bars		3		291	291
mapa–in–anak		[R] belong to them (two or more)		anak		B	bars		4		291	291
mashash–anak		misaligned, as fence posts of different heights, fail to be in agreement, of people who are expected to get along (lit. each according to its own)		anak		B	bars		5		291	291
mat–at–anak		to each other, with each other		anak		B	bars		6		291	291
mia–anak		independent, able to care for oneself; keep things separate		anak		B	bars		7		291	291
min–anak		[IC] come to be independent, come to be separated from one		anak		B	bars		8		291	291
min–an–anak		by itself, of its own accord; do on one's own, do to oneself		anak		B	bars		9		291	292
pan–anak		fall down by losing one's balance (not by tripping)		anak		B	bars		10		291	292
pashash–anak–i	[I]	(don't) leave them unaligned, (don't) let them be haphazard, (don't) let each one go its own way		anak		B	bars		11		291	292
pi–anak–in	[C/PF]	be separated from something by someone		anak		B	bars		12		291	292
pin–an–anak		leave others to themselves, leave others alone		anak		B	bars		13		291	292
pin–an–anak–i	[I]	(don't) do it yourself		anak		B	bars		14		291	292
pin–an–anak–ik	[PF1s]	I ignored someone, I was aloof from someone; I avoided someone		anak		B	bars		15		291	292
ananá		exclamation of pain, as when wounded or injured		ananá		A					292	292
man–an–ananá	[AF/IT]	keep crying out in pain, continue to exclaim in pain		ananá		A			2		292	292
an–ana–i	[IT/I]	(don't) give it/get it	ana:3	an–ana–i		A					292	292
ananaikin		be missed, be regretted; what a loss, what a pity		ananaikin		A					292	292
ana–saya	[I]	(don't) go uphill	saya:2	ana–saya		A					292	292
Anáy		female name (wife of Mutáw)		Anáy		A					293	293
an–cap	[I]	do it for me when you are out	cap:2	an–cap		A					293	293
an–dadu		that's right, as you say (response to let someone know you have heard and are following through on an action)	dadu:2	an–dadu		A					293	293
ani		no, not; don't want (can be a complete reply to a question)		ani		A					293	293
ani–wak	[1s]	I am not, I don't want		ani		A			2		293	293
maka–ani		not like something, be against something, feel negative about something		ani		A			3		293	293
min–ani	[IC]	deny, negate		ani		A			4		293	293
pish–ani		say no, deny something		ani		A			5		293	293
ka–ania		use one's wits, as to survive		ania		B	bars		2		293	293
ma–ania	[S]	clever, good at doing something, intelligent		ania		B	bars		3		293	293
min–ania	[IC]	pretend to be good at something when you really aren't		ania		B	bars		4		293	293
m–in–a–ania	[AFc]	was good at something, was clever		ania		B	bars		5		293	294
pia–ania		make someone clever or good at doing something		ania		B	bars		6		293	294
aniamin		things, possessions, belongings		aniamin		A					294	294
ani–wak	[1s]	I am not, I don't want	ani:2	ani–wak		A					294	294
an–lhckiz–in		all together	lhckiz:2	an–lhckiz–in		A					294	294
an–m–aca–acay	[IT]	be dying, be on the verge of death	acay:2	an–m–aca–acay		A					294	294
an–rium	[I]	(don't) increase it 1	rium:2	an–rium		A					294	294
ansasailan		spy, peep, look out at		ansasailan		A					294	294
ansasailan–ik	[PF1s]	I spied on		ansasailan		A			2		294	294
m–ansasailan	[AF]	look after, take care of property in the owner's absence; peep at, secretly look at, spy on; be romantically interested in someone		ansasailan		A			3		294	294
m–an–sa–sasailan	[AF/IT]	peep at, observe furtively; be romantically interested in someone		ansasailan		A			4		294	294
ansinis–i	[I]	(don't) stir it		ansinis		B	bars		2		294	294
ansinis–in	[PF]	be stirred, of a uniform substance (not of different substances mixed together)		ansinis		B	bars		3		294	294
in–ansinis	[PFc]	was stirred		ansinis		B	bars		4		294	294
in–ansinis a kamar		millet porridge		ansinis		B	bars		4a		294	294
m–ansinis	[AF]	stir food substances to make them sticky		ansinis		B	bars		5		294	294
an–sun–in	[PF]	be gathered in a place	sun:2	an–sun–in		A					294	294
an–suriz–in	[PF]	be spilled	suriz:2	an–suriz–in		A					294	294
an–shaish		(don't) take your turn	shaish:2	an–shaish		A					294	294
an–shaish–i	[I]	(don't) take your turn	shaish:3	an–shaish–i		A					294	294
an–shaish–ik	[PF1s]	I change, I take my turn	shaish:4	an–shaish–ik		A					294	294
an–shaish–in	[PF]	be replaced (by someone)	shaish:5	an–shaish–in		A					294	294
antabal–in	[PF]	be seized and carried off, be abducted or confiscated		antabal		B	bars		2		295	295
in–antabal	[PFc]	was seized and carried off		antabal		B	bars		3		295	295
m–antabal	[AF]	seize and carry off, abduct or confiscate		antabal		B	bars		4		295	295
p–antabal	[C]	cause something to be carried off		antabal		B	bars		5		295	295
an–tatá–n	[PF]	feverish, affected by fever	tata 1:2	an–tatá–n		A					295	295
an–tici–an	[LF]	be affected by chills	tici:2	an–tici–an		A					295	295
antu		negative: no, not		antu		A					295	295
ma–antu		will not		antu		A			2		295	296
antu ma–lamlam		blunt	lamlam:3	antu ma–lamlam		A					296	296
antua–k	[PF1s]	I use it for a purpose		antua		B	colon		2		296	296
antua–n		be used for a purpose		antua		B	colon		3		296	296
a–ntua		where? (to specify a smaller part of a larger location)	ntua:2	a–ntua		A					296	296
a–ntua–k	[PF1s]	I will take it somewhere	ntua:3	a–ntua–k		A					296	296
a–ntua–n	[PF]	be taken to some place	ntua:4	a–ntua–n		A					296	296
an–tutuan		container for something	tutuan:2	an–tutuan		A					296	296
mash–anua	[AF]	call for help, as in an emergency; ask someone to help		anua		B	bars		2		296	296
anun		ignore, not pay attention to, not heed; although, despite		anun		A					296	296
anun–in	[PF/I]	ignore it, don't pay attention to it; for what, for what purpose?, why?		anun		A			2		296	296
k–anun		if, in case, in the event that; or else; nonetheless; in order to find out		anun		A			3		296	297
anun–in	[PF/I]	ignore it, don't pay attention to it; for what, for what purpose?, why?	anun:2	anun–in		A					297	297
apa		carry on the back		apa		A		(PAN *apa `carry')			297	297
apa–i	[I]	(don't) carry it, (don't) carry him		apa		A		(PAN *apa `carry')	2		297	297
apá–k	[LF1s]	I am carrying, I carried		apa		A		(PAN *apa `carry')	3		297	297
apá–n	[LF]	be carried		apa		A		(PAN *apa `carry')	4		297	298
ap–apa	[I/IT]	carry it		apa		A		(PAN *apa `carry')	5		297	298
ap–apa–n	[IT/PF]	be carried		apa		A		(PAN *apa `carry')	6		297	298
ap–ap–apa–n	[IT3/PF]	be carried		apa		A		(PAN *apa `carry')	7		297	298
in–apa	[PFc]	was carried by someone; what was carried = load, burden		apa		A		(PAN *apa `carry')	8		297	298
in–apá–k	[c/LF1s]	I carried		apa		A		(PAN *apa `carry')	9		297	298
m–apa	[AF]	carry on the back, as a load of wood or a child; take, as children to some place		apa		A		(PAN *apa `carry')	10		297	298
m–ap–apa	[AF/IT]	carry repeatedly, carry many things		apa		A		(PAN *apa `carry')	11		297	298
m–in–apa	[AFc]	carried		apa		A		(PAN *apa `carry')	12		297	298
p–apa	[C]	help someone else carry something		apa		A		(PAN *apa `carry')	13		297	298
p–apa–n	[C/PF]	be carried by someone		apa		A		(PAN *apa `carry')	14		297	298
apa–i	[I]	(don't) carry it, (don't) carry him	apa:2	apa–i		A					298	298
apá–k	[LF1s]	I am carrying, I carried	apa:3	apá–k		A					298	298
apá–n	[LF]	be carried	apa:4	apá–n		A					298	298
ap–apa	[I/IT]	carry it	apa:5	ap–apa		A					298	298
ap–apa–n	[IT/PF]	be carried	apa:6	ap–apa–n		A					298	298
ap–ap–apa–n	[IT3/PF]	be carried	apa:7	ap–ap–apa–n		A					298	298
i–apaw	[L]	to sprout, as bamboo emerging from the ground		apaw		B	bars		2		298	298
kun–a–apaw	[AB/IT]	emerge or appear suddenly, come into view abruptly		apaw		B	bars		3		298	298
maka–apaw		on top of; visible		apaw		B	bars		4		298	299
ma–mu–apaw	[IT]	appear repeatedly		apaw		B	bars		5		298	299
mapa–apaw		all appear at		apaw		B	bars				298	299
apaw	[R]	once, appear together		apaw		B	bars		6		298	299
min–a–apaw	[IC/IT]	begin to become visible		apaw		B	bars		7		298	299
mu–apaw	[MV]	emerge, come out, as a snake coming out of its hole; appear; rise, of the moon		apaw		B	bars		8		298	299
pia–apaw	[C]	let something come out, as a plant that is growing, put something in a place where it can be seen		apaw		B	bars		9		298	299
pish–apaw	[IC]	become visible		apaw		B	bars		10		298	299
pu–apaw		take something out of a container, put on view		apaw		B	bars		11		298	299
pu–apaw–in	[PF]	be put in plain view, be exposed to something		apaw		B	bars		12		298	299
Api		female name		Api		A					299	299
a–pia–kuza–n		what?, how?	kuza:2	a–pia–kuza–n		A					299	299
Apin		female name (daughter of Qaitan)		Apin		A					299	299
apiq		daughter-in-law		apiq		A					299	299
min–apiq	[IC]	become a daughter-in-law; become a wife (but expressed from the perspective of the parents-in-law)		apiq		A			2		299	299
pin–apiq	[C]	make someone into a daughter-in-law (by arranging a marriage with one's son)		apiq		A			3		299	300
pin–apiq–ik	[C/PF1s]	I make someone into a daughter-in-law		apiq		A			4		299	300
apu		grandparent; ancestor		apu		A		(PAN *apu `grandparent/ grandchild')			300	300
apu ra'in		grandfather		apu		A		(PAN *apu `grandparent/ grandchild')	2		300	300
apu ki'ay		grandmother		apu		A		(PAN *apu `grandparent/ grandchild')	3		300	300
apu–an		ancestor		apu		A		(PAN *apu `grandparent/ grandchild')	4		300	300
maka–apu		resemble one's grandparent or ancestor		apu		A		(PAN *apu `grandparent/ grandchild')	5		300	300
min–apu	[IC]	become a grandparent		apu		A		(PAN *apu `grandparent/ grandchild')	6		300	300
min–a–apu		great grand-		apu		A		(PAN *apu `grandparent/ grandchild')			300	300
apu	[IC/IT]	parent (become a great grandparent?)		apu		A		(PAN *apu `grandparent/ grandchild')	7		300	300
pan–apu–an		grandparental sibling, FFB, FMB, FFZ, FMZ, MFB, MMB, MFZ, MMZ		apu		A		(PAN *apu `grandparent/ grandchild')	8		300	300
apuy		fire		apuy		A		(PAN *Sapuy `fire')			300	300
lhin–apuy		start a fire, make a fire		apuy		A		(PAN *Sapuy `fire')	2		300	300
lh–m–in–in–apuy	[AFc]	started a fire, made a fire		apuy		A		(PAN *Sapuy `fire')	3		300	300
mu–sa–apuy		go into the fire, move into the fire		apuy		A		(PAN *Sapuy `fire')	4		300	300
pan–na–sa–apuy		descend into the fire, fall into the fire		apuy		A		(PAN *Sapuy `fire')	5		300	300
pash–apuy–an	[LF]	place where a fire is made		apuy		A		(PAN *Sapuy `fire')	6		300	300
pin–apuy	[C]	start a fire		apuy		A		(PAN *Sapuy `fire')	7		300	300
pin–apu–apuy–an	[C/IT/LF]	exposed to fire repeatedly		apuy		A		(PAN *Sapuy `fire')	8		300	301
pin–apuy–an	[C/LFc]	was started, of a fire		apuy		A		(PAN *Sapuy `fire')	9		300	301
p–in–in–apuy	[Ccc]	was started, of a fire		apuy		A		(PAN *Sapuy `fire')	10		300	301
pin–apuy–an		make a fire in a place		apuy		A		(PAN *Sapuy `fire')	11		300	301
shi–apuy–in	[PF]	be lit by someone, of a cigarette		apuy		A		(PAN *Sapuy `fire')	12		300	301
sh–m–i–apuy		to light, set fire to something		apuy		A		(PAN *Sapuy `fire')	13		300	301
aq		the crow, Corvus spp.		aq		A					301	301
aq aq		cawing of a crow, sound of a crow cawing		aq		A			2		301	301
mantu–aq		to cackle, of hens, to crow?		aq		A			3		301	301
mika aq		(lit. `resembling an aq') the Formosan whistling thrush, Myiophoneus insularis Gould, fam. Turdidae, a crow-size bird with velvety blue-black plumage		aq		A			4		301	301
aq–anak–in	[PF]	by oneself, by ourselves	anak:2	aq–anak–in		A					301	301
aqtalha		meat of a pig, pork		aqtalha		A					301	301
p–aqtalha	[C]	provide with meat, to feed		aqtalha		A			2		301	301
p–aqtalhá–n	[LF]	be provided with meat, be fed		aqtalha		A			3		301	301
p–aqtalha–i	[I]	(don't) feed them, (don't) give them meat		aqtalha		A			4		301	301
aqur		hoe, an agricultural tool for tilling the soil		aqur		A					301	301
ma–tau–aqur		will hoe, intends to hoe		aqur		A			2		301	301
tau–aqur		to hoe, use a hoe to loosen the soil; carry a hoe		aqur		A			3		301	302
tau–aqur–an	[LF]	be hoed, be chopped with a hoe		aqur		A			4		301	302
t–m–au–aqur	[AF]	use a hoe to loosen the soil		aqur		A			5		301	302
t–m–in–au–aqur	[AFc]	hoed, used a hoe		aqur		A			6		301	302
Aquz		female name (sister of Kilash, wife of Mashtini)		Aquz		A					302	302
a'a		infant, baby		a'a		A					302	302
A'án		male name (second son of Sapan)		A'án		A					302	302
a'u'u		comb of a fowl, crest of a bird		a'u'u		A					302	302
ara		1 take		ara		A		(PAN *ala `fetch, get, take')			302	302
ara–i	[I]	(don't) take it, (don't) fetch it		ara		A		(PAN *ala `fetch, get, take')	2		302	302
ará–k	[LF1s]	I am taking (it)		ara		A		(PAN *ala `fetch, get, take')	3		302	302
ará–n	[LF]	be taken by someone; what is taken		ara		A		(PAN *ala `fetch, get, take')	4		302	302
ar–ara	[IT]	take, fetch, get		ara		A		(PAN *ala `fetch, get, take')	5		302	302
ar–ara–k	[IT/PF1s]	I take, I fetch		ara		A		(PAN *ala `fetch, get, take')	6		302	302
ar–ara–n	[IT/PF]	be taken by someone		ara		A		(PAN *ala `fetch, get, take')	7		302	302
in–ara	[PFc]	was taken; taken in marriage		ara		A		(PAN *ala `fetch, get, take')	8		302	303
in–ará–k	[LF1sc]	I took		ara		A		(PAN *ala `fetch, get, take')	9		302	303
in–ará–n	[LFc]	was taken		ara		A		(PAN *ala `fetch, get, take')	10		302	303
maki–ara		pluck rice heads between the thumb and index finger in harvesting		ara		A		(PAN *ala `fetch, get, take')	11		302	303
m–ara	[AF]	get, fetch, take; will get, will fetch, will take		ara		A		(PAN *ala `fetch, get, take')	12		302	303
m–ara (sa) apiq		marry off one's son (lit. get a daughter-inlaw, a calque from Taiwanese)		ara		A		(PAN *ala `fetch, get, take')	12a		302	303
m–ar–ara	[AF/IT]	get, fetch (in quantity)		ara		A		(PAN *ala `fetch, get, take')	13		302	303
m–in–ara	[AFc]	gotten, fetched, taken		ara		A		(PAN *ala `fetch, get, take')	14		302	303
ara		: 2		ara		B	bars				304	304
p–ara	[C]	let someone have something, yield to someone		ara		B	bars		2		304	304
p–ar–ara	[C/IT]	leave something undisturbed, leave something alone, let it be; forego, put off doing for the time being		ara		B	bars		3		304	304
ara–i	[I]	(don't) take it, (don't) fetch it 1	ara:2	ara–i		A					304	304
ará–k	[LF1s]	I am taking (it) 1	ara:3	ará–k		A					304	304
ará–n	[LF]	be taken by someone; what is taken 1	ara:4	ará–n		A					304	304
arar		dried, flammable stems of the tafulh which are bound together to make torches		arar		A					304	304
arara–i	[I]	let's do it		arara		B	colon		2		304	304
a–rara		help oneself to something	rara:2	a–rara		A					304	304
ar–ara	[IT]	take, fetch, get	ara 1:5	ar–ara		A					304	304
arara–i	[I]	let's do it	arara:2	arara–i		A					304	304
ar–ara–k	[IT/PF1s]	I take, I fetch	ara 1:6	ar–ara–k		A					305	305
ar–ara–n	[IT/PF]	be taken by someone 1	ara:7	ar–ara–n		A					305	305
Arumiqan		fourteenth district clockwise from Qaqcin, a former Thao settlement and agricultural area near the modern Youth Center		Arumiqan		A					305	305
aruzay		the `President fish' (socalled because it was favored by president Chiang Kai-shek during his frequent retreats at Sun-Moon Lake), Erythroculter ilishaeformis (Bleeker), fam. Cyprinidae, a large silvery lake fish (40–60 cm.) with small round scales and back arching sharply up from a somewhat depressed head; Culter erythropterus Basilewsky, a somewhat smaller (20–40 cm.) silvery fish of very similar body form		aruzay		A					305	305
pun–aruzay		fish for aruzay with traps		aruzay		A			2		305	305
