story	filename	text_id	source	audio	language	dialect	copyright	citation	BibTeX_citation
dingding	DingDing.xml	PS_dingding	Gesi Giling (2020), Dingding. Paiwan text: PDF pp. 2-30; Chinese translation: p. 32.	DingDing.wav	pwn	Eastern	CC BY-NC 4.0	Juan, T. F., and X. Ruan. 2024. Corpus of Paiwan Stories. Electronic resource.	@electronic{ruan2024paiwan,author={Juan, T. F. and Ruan, X.},year={2024},title={Corpus of {Paiwan} Stories},type={Electronic Resource}}
kavatjes	kavatjes_ni_vuvu.xml	PS_kavatjes	Gesi Giling (2020), Kavatjes ni vuvu. Paiwan text: PDF pp. 2-30; Chinese translation: p. 32.	kavatjes_ni_vuvu.wav	pwn	Eastern	CC BY-NC 4.0	Juan, T. F., and X. Ruan. 2024. Corpus of Paiwan Stories. Electronic resource.	@electronic{ruan2024paiwan,author={Juan, T. F. and Ruan, X.},year={2024},title={Corpus of {Paiwan} Stories},type={Electronic Resource}}
maljialjian	maljialjian_a_qaciljay.xml	PS_maljialjian	Maljialjian a qaciljay, bilingual Word document.	maljialjian_a_qaciljay.wav	pwn	Eastern	CC BY-NC 4.0	Juan, T. F., and X. Ruan. 2024. Corpus of Paiwan Stories. Electronic resource.	@electronic{ruan2024paiwan,author={Juan, T. F. and Ruan, X.},year={2024},title={Corpus of {Paiwan} Stories},type={Electronic Resource}}
