letter	IPA
ng	ŋ
e	ə
u	ʊ
'	ʡ
^	ʔ
c	ts
d	ɬ
l	ɾ
y	j
p	p
b	b
t	t
k	k
g	g
q	q
f	f
v	v
s	s
x	x
z	z
h	h
m	m
n	n
r	r
w	w
i	i
a	a
o	o
