letter	IPA
ng	ŋ
c	ts
h	ħ
x	χ
y	j
r	ɾ
p	p
b	b
t	t
d	d
k	k
g	g
q	q
s	s
z	z
m	m
n	n
l	l
w	w
i	i
e	e
a	a
u	u
o	o
